iter	RMSE
0	0.7048636206
1	0.6993577986
2	0.693353722
3	0.6883099138
4	0.6841918557
5	0.6799590001
6	0.6763843782
7	0.6726921231
8	0.668288921
9	0.6649185896
10	0.6604336613
11	0.6572954419
12	0.653731874
13	0.6507313211
14	0.6474767436
15	0.6443715741
16	0.6420956063
17	0.6394738955
18	0.6366557239
19	0.633937163
20	0.6310601512
21	0.6283145413
22	0.6268670017
23	0.6246416825
24	0.6217899528
25	0.6193577845
26	0.6175040666
27	0.6155813524
28	0.6143841439
29	0.6128957481
30	0.6112887785
31	0.6098571963
32	0.6084751892
33	0.6065832332
34	0.6051924673
35	0.6037252443
36	0.6019436408
37	0.6005577988
38	0.5995888156
39	0.5974704081
40	0.5961956345
41	0.5950424238
42	0.5932573011
43	0.5915254017
44	0.5902907041
45	0.5891420696
46	0.5878495092
47	0.5871627038
48	0.5853232697
49	0.5840867263
50	0.583031149
51	0.5820181719
52	0.5808984907
53	0.5799999847
54	0.5786356149
55	0.5775229752
56	0.5767104477
57	0.5758988531
58	0.5751472081
59	0.574212805
60	0.5733694661
61	0.5724403279
62	0.5713211431
63	0.5705727541
64	0.5696399944
65	0.5687126143
66	0.5676078556
67	0.5667105124
68	0.5659682528
69	0.5654514812
70	0.5641295502
71	0.5631608473
72	0.5623517765
73	0.5616806095
74	0.5611023896
75	0.5602423625
76	0.5593239154
77	0.5582634172
78	0.5577427205
79	0.5571960649
80	0.5566253203
81	0.5557425913
82	0.5548380393
83	0.5539581504
84	0.5531325309
85	0.5524757553
86	0.5517451479
87	0.551119862
88	0.5502924962
89	0.5492974713
90	0.5486171776
91	0.5475682955
92	0.5467129109
93	0.5459680801
94	0.5453976259
95	0.5449989274
96	0.5446275871
97	0.5440410493
98	0.5435963701
99	0.5427728331
100	0.5422021491
101	0.5416398266
102	0.5408471655
103	0.5402096547
104	0.5396462627
105	0.5388827643
106	0.5381153296
107	0.5371933446
108	0.5364411107
109	0.5358262453
110	0.5352299516
111	0.534618794
112	0.5342407402
113	0.5338617595
114	0.5336592857
115	0.5328003651
116	0.5321861207
117	0.5316078152
118	0.5312034112
119	0.5304396622
120	0.5292520981
121	0.5285872383
122	0.5278983441
123	0.5273417765
124	0.5268299744
125	0.5263111504
126	0.525775218
127	0.5250692241
128	0.5246375039
129	0.5241255235
130	0.52379273
131	0.5231976453
132	0.5226127126
133	0.521822251
134	0.5215286415
135	0.5211366934
136	0.5205998535
137	0.5198482232
138	0.5193465391
139	0.5188070074
140	0.5181657726
141	0.5176814028
142	0.5175121055
143	0.5168890721
144	0.5162941486
145	0.51543915
146	0.5146774789
147	0.5142527435
148	0.5137376572
149	0.5135606787
150	0.5132702081
151	0.5126537924
152	0.5123138008
153	0.5117444032
154	0.5111610372
155	0.5104894632
156	0.5099874232
157	0.5092644994
158	0.5087592515
159	0.5081934408
160	0.5072882379
161	0.5062421444
162	0.5056925086
163	0.504994816
164	0.5040910066
165	0.5033341026
166	0.5025328061
167	0.5021335001
168	0.5019184205
169	0.5014857983
170	0.5013432057
171	0.5008482526
172	0.5006291546
173	0.4993504948
174	0.4987137641
175	0.498023799
176	0.497453093
177	0.4967662116
178	0.4962176498
179	0.4956836826
180	0.4953011532
181	0.4944422514
182	0.494239857
183	0.4936147706
184	0.4930373722
185	0.4927140065
186	0.4919687499
187	0.4909009176
188	0.4902652019
189	0.4897286451
190	0.4892091566
191	0.4884337501
192	0.488219913
193	0.4878462003
194	0.4872893538
195	0.4866872145
196	0.4859865125
197	0.4852354186
198	0.484604976
199	0.4837671894
200	0.4832566507
201	0.4823242618
202	0.4815733785
203	0.4809990311
204	0.4800125429
205	0.4797608601
206	0.4791541504
207	0.4786903836
208	0.4780783138
209	0.477416372
210	0.4764155719
211	0.4757568183
212	0.4748981171
213	0.4742802262
214	0.4737393608
215	0.4735316948
216	0.4729492419
217	0.4725138576
218	0.4719310243
219	0.4715022732
220	0.4709863445
221	0.4704907306
222	0.4699744837
223	0.4690487812
224	0.4683517436
225	0.4677642212
226	0.4670333963
227	0.4659480414
228	0.4656592079
229	0.4647026246
230	0.4642603065
231	0.4635280809
232	0.4628800522
233	0.4626496233
234	0.4619702407
235	0.4614838311
236	0.4609407083
237	0.4601978807
238	0.459871026
239	0.4592520694
240	0.4584822387
241	0.4578189981
242	0.457092139
243	0.4566867184
244	0.4563858138
245	0.455904437
246	0.4554784781
247	0.4552262927
248	0.4546523774
249	0.4544906524
250	0.454017909
251	0.4534332721
252	0.4527932692
253	0.4522482585
254	0.4516291508
255	0.4510446859
256	0.4503563409
257	0.4496245052
258	0.4493913943
259	0.4489923875
260	0.448404384
261	0.4482613567
262	0.4481018827
263	0.4476712529
264	0.4470422841
265	0.4462054036
266	0.445304999
267	0.4451677727
268	0.4445614028
269	0.4437736507
270	0.4433672197
271	0.4427358593
272	0.4422081308
273	0.4416609619
274	0.4411485055
275	0.4410305187
276	0.4403554909
277	0.4396816547
278	0.4392039919
279	0.4386665311
280	0.4382914161
281	0.4378707216
282	0.4373281318
283	0.4369139231
284	0.4364924613
285	0.4363624447
286	0.436202887
287	0.4357502261
288	0.4350547699
289	0.4344978441
290	0.4339867599
291	0.4334934094
292	0.4333808234
293	0.4327655117
294	0.4321789676
295	0.4316045958
296	0.4312011136
297	0.4305412392
298	0.430136302
299	0.4299364176
300	0.4292008551
301	0.4289607605
302	0.4284099589
303	0.427887488
304	0.4271795604
305	0.4266463754
306	0.4261116683
307	0.4258384921
308	0.4257253559
309	0.4253703402
310	0.4250715389
311	0.4248682007
312	0.4247540627
313	0.4243592885
314	0.4239105457
315	0.4232209547
316	0.4227327636
317	0.4222219158
318	0.421830802
319	0.4215309291
320	0.421198476
321	0.4208247179
322	0.4203998887
323	0.4198424861
324	0.4193952919
325	0.4190676779
326	0.4189601849
327	0.4183010217
328	0.4181769089
329	0.417882549
330	0.4177792485
331	0.4172724438
332	0.4167553308
333	0.4162381598
334	0.4157308915
335	0.4152155418
336	0.4145118735
337	0.4139711391
338	0.4136416574
339	0.4131969154
340	0.4127734674
341	0.4123379565
342	0.4122370594
343	0.4118094723
344	0.4114708875
345	0.4110544611
346	0.4107455749
347	0.4103647133
348	0.4097942289
349	0.4094331341
350	0.4088847899
351	0.4085000495
352	0.4081815997
353	0.4079936483
354	0.4077554729
355	0.4072435687
356	0.4068799326
357	0.4065087241
358	0.4061738595
359	0.4057088304
360	0.4052790899
361	0.4049906094
362	0.4045947625
363	0.4041825557
364	0.4041117264
365	0.4039269352
366	0.4035514533
367	0.4034658162
368	0.4031669336
369	0.4026379441
370	0.4024509414
371	0.4021508938
372	0.4016371896
373	0.4012533432
374	0.400909111
375	0.4004816213
376	0.4000900978
377	0.3995868897
378	0.3991724534
379	0.3985664287
380	0.3982032397
381	0.398104724
382	0.3977566983
383	0.3973477074
384	0.3971714126
385	0.3968493432
386	0.3963735677
387	0.3960544375
388	0.395579358
389	0.395032169
390	0.3945124241
391	0.3939513744
392	0.3933800529
393	0.3929389845
394	0.3925150584
395	0.392035028
396	0.3917503697
397	0.3913791061
398	0.3909948952
399	0.3906375225
400	0.3902007841
401	0.3897423008
402	0.3894461806
403	0.3889572841
404	0.3886647115
405	0.3883575066
406	0.3879653885
407	0.3874311192
408	0.387137756
409	0.3868875053
410	0.3865108252
411	0.3861414248
412	0.3856391787
413	0.3854883274
414	0.3850882591
415	0.384789883
416	0.3844515838
417	0.3843517303
418	0.3838084409
419	0.3835799161
420	0.3831686127
421	0.3826670542
422	0.3825472955
423	0.3821593085
424	0.3817289963
425	0.3813318036
426	0.381229355
427	0.3809431984
428	0.3804646237
429	0.3802348473
430	0.3799822787
431	0.3796182307
432	0.3790520451
433	0.3786654956
434	0.3783335338
435	0.37796902
436	0.3776950967
437	0.3773004754
438	0.3772346359
439	0.3769517286
440	0.3765682097
441	0.3761547831
442	0.37580095
443	0.3753852263
444	0.3750590367
445	0.3746518387
446	0.3742558977
447	0.3736887992
448	0.3733132918
449	0.3728848745
450	0.372612969
451	0.3721342108
452	0.3719047199
453	0.3715861891
454	0.3712251676
455	0.3708931102
456	0.3705753849
457	0.3701994795
458	0.3696715405
459	0.3693463374
460	0.3691063642
461	0.3688395693
462	0.3683565071
463	0.3680665312
464	0.3677275883
465	0.3673847946
466	0.3669626322
467	0.3665605298
468	0.3662338373
469	0.3659414535
470	0.3656547511
471	0.3652634752
472	0.3649190897
473	0.3644412243
474	0.3642323135
475	0.3641568848
476	0.3639346407
477	0.3636336317
478	0.3635414189
479	0.3630176119
480	0.3627286585
481	0.3624908661
482	0.3620379261
483	0.3617851608
484	0.361509065
485	0.3611984928
486	0.3608923534
487	0.3605348173
488	0.3602469098
489	0.3598891267
490	0.3596315077
491	0.3593686238
492	0.359087444
493	0.359019353
494	0.3588393719
495	0.3585485899
496	0.3580712714
497	0.3578192168
498	0.3574144826
499	0.3571088556
500	0.3570331637
501	0.3567816659
502	0.3563678214
503	0.3559578592
504	0.3558446091
505	0.3556814118
506	0.3553211629
507	0.3550504132
508	0.3547293484
509	0.3544626931
510	0.3542037909
511	0.353885837
512	0.3536413818
513	0.3531511248
514	0.3529574742
515	0.3526767024
516	0.3523554004
517	0.3521110273
518	0.3518257492
519	0.3514830273
520	0.3510470267
521	0.3507738264
522	0.3506152589
523	0.3502740814
524	0.3498638626
525	0.3496990181
526	0.3494041871
527	0.3491503501
528	0.3488552573
529	0.3485837758
530	0.3482863297
531	0.348007885
532	0.3479486786
533	0.3476932591
534	0.3473885578
535	0.3471127308
536	0.346641802
537	0.3465844374
538	0.3461707876
539	0.3457343288
540	0.3453443644
541	0.3450590772
542	0.3445314243
543	0.3444754422
544	0.3442196124
545	0.3439326387
546	0.343852272
547	0.3435850436
548	0.3434938399
549	0.3432171595
550	0.3429991844
551	0.3426764477
552	0.3423171748
553	0.3421935431
554	0.3419934263
555	0.3416874518
556	0.3413341019
557	0.3411540963
558	0.3409122722
559	0.3405034841
560	0.3401713012
561	0.3397809549
562	0.3395872793
563	0.339161654
564	0.3388124425
565	0.3385896065
566	0.338333345
567	0.3381973166
568	0.3379680104
569	0.3376611928
570	0.3373263918
571	0.3370625925
572	0.3368390281
573	0.3364579701
574	0.3361561722
575	0.336104006
576	0.3358615653
577	0.3357185839
578	0.3354749379
579	0.3354195069
580	0.3349604768
581	0.3346630578
582	0.3344022728
583	0.3341401162
584	0.3340058224
585	0.3336349503
586	0.3332776566
587	0.3330976082
588	0.3328440232
589	0.3325964882
590	0.332299304
591	0.3318825285
592	0.3315337525
593	0.3313209895
594	0.3311584524
595	0.3308360464
596	0.3305535156
597	0.3302652685
598	0.3300469723
599	0.3296830604
600	0.3293778488
601	0.3289786598
602	0.3288998432
603	0.328666243
604	0.328614672
605	0.3283029129
606	0.3279188521
607	0.3276998194
608	0.3273755878
609	0.3270960578
610	0.3267298198
611	0.3264884886
612	0.3260889402
613	0.3260348997
614	0.325742929
615	0.325292307
616	0.3250975848
617	0.3250446249
618	0.3248327057
619	0.3247549182
620	0.3245058388
621	0.3241697303
622	0.3240376904
623	0.3236910979
624	0.3234505232
625	0.3232488461
626	0.323031716
627	0.3227990133
628	0.3226263467
629	0.3222942621
630	0.3222434157
631	0.3219556303
632	0.3217538854
633	0.3213564182
634	0.321289886
635	0.3210726422
636	0.3207980243
637	0.3206906708
638	0.3204130159
639	0.3202217688
640	0.3199971022
641	0.3198334451
642	0.3194690058
643	0.3190912385
644	0.318902076
