iter	Passed	Remaining
0	2	2349
1	3	1917
2	5	1760
3	6	1697
4	8	1693
5	10	1711
6	12	1718
7	13	1707
8	15	1702
9	17	1708
10	19	1780
11	21	1763
12	23	1748
13	25	1782
14	27	1774
15	29	1804
16	31	1794
17	32	1787
18	34	1781
19	36	1774
20	38	1772
21	39	1764
22	41	1758
23	43	1750
24	44	1743
25	46	1739
26	48	1732
27	49	1727
28	52	1744
29	53	1735
30	55	1731
31	57	1730
32	59	1732
33	60	1731
34	62	1729
35	64	1725
36	66	1721
37	67	1718
38	69	1712
39	71	1711
40	73	1707
41	75	1722
42	77	1720
43	79	1716
44	80	1712
45	82	1708
46	84	1708
47	86	1713
48	88	1711
49	89	1707
50	91	1704
51	94	1714
52	95	1711
53	97	1707
54	99	1704
55	100	1699
56	102	1696
57	104	1703
58	106	1699
59	108	1694
60	109	1690
61	111	1685
62	113	1681
63	114	1676
64	116	1682
65	119	1690
66	121	1694
67	123	1690
68	124	1686
69	126	1682
70	128	1680
71	130	1678
72	131	1675
73	133	1670
74	135	1666
75	136	1662
76	138	1659
77	140	1656
78	141	1653
79	143	1650
80	145	1648
81	146	1645
82	148	1641
83	150	1638
84	151	1635
85	153	1632
86	155	1628
87	156	1625
88	158	1623
89	160	1621
90	162	1618
91	163	1615
92	165	1613
93	167	1617
94	170	1621
95	171	1617
96	173	1613
97	175	1616
98	177	1614
99	178	1610
100	180	1607
101	182	1607
102	184	1607
103	186	1606
104	188	1605
105	190	1603
106	191	1600
107	193	1597
108	195	1596
109	197	1594
110	199	1597
111	201	1593
112	202	1589
113	204	1585
114	205	1581
115	207	1579
116	208	1576
117	210	1573
118	212	1571
119	214	1569
120	215	1567
121	217	1563
122	218	1560
123	220	1557
124	222	1555
125	223	1553
126	225	1550
127	227	1548
128	228	1545
129	230	1541
130	232	1539
131	233	1535
132	235	1533
133	236	1530
134	238	1528
135	240	1526
136	241	1523
137	243	1521
138	245	1518
139	246	1516
140	248	1513
141	250	1511
142	251	1509
143	253	1509
144	255	1507
145	257	1505
146	258	1502
147	260	1500
148	262	1498
149	263	1495
150	265	1493
151	267	1491
152	269	1492
153	271	1490
154	272	1487
155	274	1485
156	276	1483
157	278	1481
158	279	1480
159	281	1477
160	283	1474
161	284	1472
162	286	1470
163	288	1468
164	289	1466
165	291	1464
166	293	1462
167	294	1459
168	296	1457
169	298	1455
170	299	1452
171	301	1450
172	302	1447
173	304	1446
174	306	1444
175	308	1442
176	309	1440
177	311	1438
178	313	1435
179	314	1433
180	316	1431
181	318	1429
182	319	1426
183	321	1424
184	322	1422
185	324	1421
186	326	1419
187	328	1420
188	330	1419
189	332	1417
190	334	1415
191	335	1413
192	337	1410
193	338	1408
194	340	1405
195	342	1406
196	344	1403
197	346	1402
198	347	1400
199	349	1398
200	351	1396
201	353	1397
202	355	1395
203	357	1393
204	358	1391
205	360	1389
206	362	1387
207	363	1385
208	365	1383
209	367	1384
210	369	1382
211	371	1380
212	373	1378
213	374	1376
214	376	1373
215	377	1371
216	379	1369
217	381	1367
218	382	1365
219	384	1362
220	386	1361
221	387	1359
222	389	1356
223	391	1355
224	393	1353
225	399	1368
226	401	1366
