Front matter,Page number,Page number
Book half title,i,
"Series title, other works, frontispiece, or blank",ii,
Title page,iii,
Copyright page,iv,
Dedication,v,
Epigraph,v or vi,
(Table of) Contents,v or vii,
(List of) Illustrations,,recto or verso
(List of) Tables,,recto or verso
Foreword,,recto
Preface,,recto
Acknowledgments (if not part of preface),,recto
Introduction (if not part of text),,recto
Abbreviations (if not in back matter),,recto or verso
Chronology (if not in back matter),,recto
Text,,
First text page (introduction or chapter 1),1,
or,,
Second half title or first part title,1,
Blank,2,
First text page,3,
Subsequent chapters,,recto or verso
Conclusion,,recto or verso
Epilogue or afterword,,recto or verso
Back matter,,
Acknowledgments (if not in front matter),,recto
"Appendix (or first, if more than one)",,recto
Subsequent appendixes,,recto or verso
Chronology (if not in front matter),,recto
Abbreviations (if not in front matter),,recto
Glossary,,recto
Notes (if not footnotes or chapter endnotes),,recto
Bibliography or References,,recto
(List of) Contributors,,recto
Illustration Credits (if not in captions or elsewhere),,recto
Index(es),,recto
About the author (if not on back cover or elsewhere),,recto
