ISBN,Title,Author,Format,Gross Qty,Returned Qty,Net Qty,Net Compensation,Sales Market
9781608880836,Capital Ships of the Imperial Japanese Navy 1868-1945: The Yamato Class and Subsequent Planning,"Lengerer, Hans",Hardcover,951,0,951,11761.54,US
9781608881819,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Hardcover,422,0,422,10363.04,US
9781608880584,The Essential Saker: from the trenches of the emerging multipolar world,"The Saker,",Hardcover,1001,0,1001,7795.39,US
9781608880461,The World Wonder'd: What Really Happened Off Samar,"Lundgren, Robert",Hardcover,942,0,942,7747.18,US
9781934840856,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr, Frank J.,  J.",Paperback,340,0,340,6607.23,US
9781608881208,Why the USS Scorpion (SSN 589) Was Lost: The Death of a Submarine in the North Atlantic,"Rule, Bruce",Hardcover,539,0,539,5519.36,US
9781608881642,Empire of Chaos,"Escobar, Pepe",Hardcover,512,-1,511,4822.27,US
9781934840177,The Handbook of Fifth-Generation Warfare (5GW),"Abbott, Daniel H.",Hardcover,450,0,450,4059.12,US
9780978813826,GLOBALISTAN: An Antidote to THE WORLD IS FLAT,"Escobar, Pepe,",Paperback,184,0,184,3846.35,US
9781608881819,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Hardcover,107,0,107,3744.04,UK
9781608881680,Why the USS Thresher (SSN 593) Was Lost,"Rule, Bruce",Hardcover,536,0,536,3532.81,US
9781608880577,Department of Defense Law of War Manual,"Department of Defense, OGC",Hardcover,65,0,65,2954.23,US
9781934840986,Blood on Our Hands: The American Invasion and Destruction of Iraq,"Davies, Nicolas J. S.",Paperback,274,0,274,2810.25,US
9781608880584,The Essential Saker: from the trenches of the emerging multipolar world,"The Saker,",Hardcover,361,0,361,2740.89,UK
9781608880881,Spacepower: Doctrine for Space Forces,United States Space Force,Hardcover,340,0,340,2542.9,US
9781608881888,Navigation Rules and Regulations Handbook,Department of Homeland Security,Hardcover,380,-1,379,2528.28,US
9781608881192,Jane's Fighting Ships 1900 (facsimile edition),"Jane, Frederick T.",Paperback,47,-1,46,2387.88,US
9781934840467,"The John Boyd Roundtable: Debating Science, Strategy, and War","Safranski, Mark",Paperback,160,0,160,2161.75,US
9781608881642,Empire of Chaos,"Escobar, Pepe",Hardcover,242,0,242,2090.22,UK
9781608881499,PT Boats Behind The Scenes,"Andruss Sr., Frank J.",Hardcover,100,0,100,2067.37,US
9780978813826,GLOBALISTAN: An Antidote to THE WORLD IS FLAT,"Escobar, Pepe,",Paperback,140,0,140,1903.5,UK
9781608880836,Capital Ships of the Imperial Japanese Navy 1868-1945: The Yamato Class and Subsequent Planning,"Lengerer, Hans",Hardcover,128,0,128,1890.22,UK
9781608881130,The Royal Navy's Revenge and Other Little-Known Encounters of the War at Sea,"O'Hara, Vincent P.",Hardcover,168,0,168,1668.32,US
9781608881802,Pieces of History: Artifacts of the PT Boat Navy,"Andruss, Frank, J.",Hardcover,107,0,107,1615.12,US
9781934840832,Obama Does Globalistan,"Escobar, Pepe",Paperback,122,0,122,1582.63,US
9781608881604,FLEETS OF WORLD WAR II: Design History and Analysis for Every Ship of Every Navy (Revised Edition),"Worth, Richard",Hardcover,198,0,198,1534.03,US
9781608882335,Raging Twenties: Great Power Politics Meets Techno-Feudalism,"Escobar, Pepe",Hardcover,155,0,155,1491.45,US
9780979920516,Global Perspectives on Space Power,"Szymanski, Paul,",Hardcover,51,0,51,1465.71,US
9781608880737,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank, J.",Hardcover,65,0,65,1438.05,US
9781608880355,2030,"Escobar, Pepe",Paperback,282,0,282,1385.59,US
9781608880591,Report of Operation HighJump: U.S. Navy Antarctic Development Program 1947,U.S. Navy,Hardcover,180,0,180,1233.74,US
9781608881376,The Art of War of Bernadotte,"Bernadotte, Jean-Baptiste",Paperback,217,0,217,1233.37,US
9781608881437,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 1),"Office of the Secretary of Defense,",Hardcover,53,0,53,1212.66,US
9781608881659,Battleship Victory: Principles of Sea Power in the War in the Pacific,"Lundgren, Robert",Hardcover,124,0,124,1164.19,US
9781608881666,"Amalgamated International and U.S. Inland Navigation Rules: Amalgamation of the International Regulations for Preventing Collisions at Sea and the U.S. Inland Navigation Rules, their Annexes, and associated Federal regulations",United States Coast Guard,Hardcover,248,0,248,1037.4,US
9781608880997,MTBSTC: Motor Torpedo Boat Squadrons Center,"Jones, Charles B.",Hardcover,57,0,57,949.78,US
9781608880553,Alien: How Operational Art Devoured Strategy,"Kelly, Justin",Paperback,95,0,95,906.35,US
9781934840986,Blood on Our Hands: The American Invasion and Destruction of Iraq,"Davies, Nicolas J. S.",Paperback,97,0,97,885.79,UK
9781608880133,"U.S. Patrol Torpedo Boats in World War II, 1939-1945","Connelly, T. Garth",Paperback,64,0,64,833.63,US
9781934840177,The Handbook of Fifth-Generation Warfare (5GW),"Abbott, Daniel H.",Hardcover,103,0,103,790.66,UK
9781608881628,Halsey's Decision: Organizational Failure at Leyte Gulf,"Brooks, David L.",Paperback,152,0,152,775.06,US
9781934840979,Principles of War,"Hapsburg, Archduke Charles von",Paperback,82,0,82,772.1,US
9781608880089,European Axis Signal Intelligence in World War II,"National Security Agency,",Hardcover,15,0,15,770.22,US
9781608880355,2030,"Escobar, Pepe",Paperback,253,0,253,767.44,UK
9781934840443,The Unauthorized Harry Potter Quiz Book: 165 Questions Ranging from The Sorcerer's Stone to The Deathly Hallows,"Davis, Graeme",Paperback,54,0,54,760.33,US
9781934840184,"BB-67 Montana, U.S. Navy Battleship: Why She Matters Today","Zimmerman, W. Frederick",Paperback,76,0,76,757.23,US
