ISBN13,Title,Format,Status
978-1-934840-86-3,Strategic Satellite Systems in a Post-Cold-War Environment,,AVAILABLE
978-1-934840-87-0,"The Impact of the USS Forrestal's 1967 Fire on United States Navy Shipboard Damage Control""",,AVAILABLE
978-1-934840-88-7,Soviet Space Technology,,AVAILABLE
978-1-934840-89-4,"Index of Oral Histories ...",,AVAILABLE
978-1-934840-90-0,Born American,Paperback,AC (USA)/AC (GBR)
978-1-934840-91-7,Dark Navy,Paperback,AC (GBR)/AC (USA)
978-1-934840-92-4,Titivillicus 1,Paperback,AVAILABLE
978-1-934840-93-1,Aquiline,,AVAILABLE
978-1-934840-94-8,Secrets of the Modern World,Paperback,AC (USA)/AC (GBR)
978-1-934840-95-5,Imperial Japanese Navy 1932-1945 Warships and Colours,,AVAILABLE
978-1-934840-96-2,The World's Warships 1915,,AVAILABLE
978-1-934840-97-9,Principles of War,Paperback,AC (USA)/AC (GBR)
978-1-934840-98-6,Blood on Our Hands,Paperback,AC (USA)/AC (GBR)
978-1-934840-99-3,Fallen Walls and Fallen Towers,Hardback,AC (USA)/AC (GBR)
