ISBN13,Title,Format,Status,NOTES
978-1-60888-020-1,Operation Weseruebung,Paperback,AC (USA)/AC (GBR),
978-1-60888-021-8,So Much for Democracy,Undefined,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-022-5,Operation Sea Lion,Paperback,AC (USA)/AC (GBR),
978-1-60888-023-2,Sea-Based Airpower - the Decisive Factor in Expeditionary Operations?,Paperback,AC (USA)/AC (GBR),
978-1-60888-024-9,Oops! Boom! an Analysis of Fratricide in Us Naval Surface and Submarine Forces in World War II,Paperback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-025-6,Submarine Warfare in the 20th and 21st Centuries - a Bibliography,Paperback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-026-3,"The Influence of Naval Power on the Course of the Spanish Civil War, 1936-1939",Paperback,AC (USA)/AC (GBR),
978-1-60888-027-0,Historical Bibliography of Sea Mine Warfare,Paperback,AC (USA)/AC (GBR),
978-1-60888-028-7,The Influence of Maritime Theorists Alfred Thayer Mahan and Sir Julian Corbett on the Development of German Naval Strategy 1930-1936,Paperback,AC (USA)/AC (GBR),
978-1-60888-029-4,The LOST SYMBOL Found: Unauthorized Analysis of Dan Brown's Novel,Ebook - Open Ebook,WI (USA)/AC (GBR),
978-1-60888-030-0,Hitler's Malta Option,Paperback,AC (USA)/AC (GBR),
978-1-60888-031-7,Freyburg's Failure at Crete,Paperback,AC (USA)/AC (GBR),
978-1-60888-032-4,Falling from Grace,Paperback,AC (USA)/AC (GBR),
978-1-60888-033-1,Why the Allies Lost the Battle of Crete,Paperback,AC (USA)/AC (GBR),
978-1-60888-034-8,The Russia-Georgia War,Hardback,AC (USA),
978-1-60888-035-5,2030,Paperback,AC (USA),
978-1-60888-036-2,Obama's Nuclear Posture Review,Paperback,AC (USA)/AC (GBR),
978-1-60888-037-9,"Self-Inflicted Wound Allied Defeat in Crete, May 1941",Paperback,AC (USA)/AC (GBR),
978-1-60888-038-6,Understanding Your Amazon Sales Rank,Ebook - Open Ebook,AC (USA),
978-1-60888-039-3,World War II Vertical Envelopment,Paperback,AC (USA)/AC (GBR),
978-1-60888-040-9,Crete,Paperback,AC (USA)/AC (GBR),
978-1-60888-041-6,Airlift and Airborne Operations During World War Ii,Paperback,AC (USA),
978-1-60888-042-3,Uncharted Waters,Paperback,AC (USA)/AC (GBR),DUPLICATE
978-1-60888-043-0,Napoleon's Cavalry,Paperback,AC (USA)/AC (GBR),
978-1-60888-044-7,Chronology of the U S Army in World War II,Paperback,AC (USA)/AC (GBR),
978-1-60888-045-4,Pictorial Record,Paperback,AC (USA)/AC (GBR),
978-1-60888-046-1,The World Wonder'd,Hardback,AC (USA),
978-1-60888-047-8,Packed and Loaded,Paperback,AC (USA)/AC (GBR),
978-1-60888-048-5,Age of Ice and Steel,Hardback,AC (USA)/AC (GBR),
978-1-60888-049-2,The Exxon Valdez Oil Spill a Report to the President,Paperback,AC (USA)/AC (GBR),
978-1-60888-050-8,Rise of the Drones,Paperback,AC (USA)/AC (GBR),
978-1-60888-051-5,From Gaza to the Peloponnessian War,Paperback,AC (USA)/AC (GBR),
978-1-60888-052-2,Bureau 39: North Korea's Super Criminals, ,EXPIRED,
978-1-60888-053-9,Strategic Airpower Elements in Interwar German Air Force Doctrine,Paperback,EXPIRED,
978-1-60888-054-6,Army Air Force Special Operations in the Balkans During World War II, ," EXPIRED
EXPIRED",
978-1-60888-055-3,Alien,Paperback,AC (USA)/AC (GBR),
978-1-60888-056-0,"Hitler, Hussein, and the Crazy State",Paperback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-057-7,Department of Defense Law of War Manual,Hardback,AC (USA),
978-1-60888-058-4,The Essential Saker,Hardback,AC (USA),
978-1-60888-059-1,Report of Operation HighJump,Hardback,AC (USA),
978-1-60888-060-7,Ten Propositions Regarding Space Power,Paperback,AC (USA)/AC (GBR),
978-1-60888-061-4,Halsey's Decision,Hardback,AC (USA),
978-1-60888-062-1,Investigation of Forrestal Fire,Paperback,AC (USA),
978-1-60888-063-8,Mars Climate Orbiter,Paperback,AC (USA),
978-1-60888-064-5,Professor Barrister's Dinosaur Mysteries #3,Paperback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-065-2,Ultimate Guide to Harry Potter Fandom: Book One,,Cancelled,
978-1-60888-066-9,"CVN-68 Nimitz, U.S. Navy Aircraft Carrier",,,
978-1-60888-067-6,Guide to Captured German Documents [World War II Bibliography],Paperback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-068-3,War in Afghanistan,Paperback,AC (USA)/AC (GBR),
978-1-60888-069-0,Yuri the Lion,Paperback,AC (USA)/AC (GBR),
978-1-60888-070-6,Light Infantry Forces,Paperback,AC (USA)/AC (GBR),
978-1-60888-071-3,Light Infantry,Paperback,AC (USA)/AC (GBR),
978-1-60888-072-0,Instructions Concerning the Duties of Light Infantry in the Field,Paperback,AC (USA)/AC (GBR),
978-1-60888-073-7,Building the PT Boats,Hardback,AC (USA),
978-1-60888-074-4,Globalistan,Hardback,AC (USA),DUPLICATE
978-1-60888-075-1,Brave Just Like Me Keepsake Edition,Hardback,AC (USA),
978-1-60888-076-8,In the Shadow of the Battleship,Hardback,AC (USA),
978-1-60888-077-5,Dark Navy,Hardback,AC (USA),
978-1-60888-078-2,Blood on Our Hands,Hardback,AC (USA),
978-1-60888-079-9,Principles of War,Hardback,AC (USA),
978-1-60888-080-5,Winter's Guide to Warships 1890 vol. 1,,Available for Download/Print,
978-1-60888-081-2,USS Shiloh Cg-67,Hardback,AC (USA),
978-1-60888-082-9,USS Shiloh CG-67: US Navy Guided Missile Cruiser,epub,,
978-1-60888-083-6,Capital Ships of the Imperial Japanese Navy 1868-1945,Hardback,AC (USA),
978-1-60888-084-3,The Collected Papers of Frederic William Maitland,Hardback,AC (USA)/AC (GBR),
978-1-60888-085-0,The Collected Papers of Frederic William Maitland,Hardback,AC (USA)/AC (GBR),
978-1-60888-086-7,The Collected Papers of Frederic William Maitland,Hardback,AC (USA)/AC (GBR),
978-1-60888-087-4,The King's English (2D Edition),Hardback,AC (USA),
978-1-60888-088-1,Spacepower,Hardback,AC (USA),
978-1-60888-089-8,The Littoral Combat Ship Omnibus,Hardback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-090-4,Torpedoes and Torpedo Warfare [Torpedo Boat Classics],Hardback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-091-1,USS Chosin CG 65,Paperback,AC (USA),
978-1-60888-092-8,Torpedo Boat Policy [Torpedo Boat Classics],Hardback,AC (SYN)/AC (GBR)/AC (USA),
978-1-60888-093-5,Torpedoes,Hardback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-094-2,Russian Active Measures Campaigns and Interference,Hardback,AC (USA),
978-1-60888-095-9,USS CHANCELLORSVILLE,,,
978-1-60888-096-6,Glossaries of Nautical Terms,Hardback,AC (USA),
978-1-60888-097-3,The Family Jewels,Hardback,AC (USA)/AC (GBR),
978-1-60888-098-0,Finding Meaning in Narni,Paperback,AC (USA)/AC (GBR),
978-1-60888-099-7,Mtbstc,Hardback,AC (USA)/AC (GBR),
978-1-60888-100-0,A Day Book with Prompts,Hardback,AC (USA),
978-1-60888-101-7,Thunder in Its Courses,Hardback,AC (GBR)/AC (USA),
978-1-60888-102-4,"The Regia Marina's Mas Boats, 1915-1945",Hardback,AC (USA)/AC (GBR),
978-1-60888-103-1,Rising Storm: Battle of the Atlantic 1939-1940 (Naval Wargaming Rules),,EXPIRED,
978-1-60888-104-8,Record of Proceedings of THRESHER Inquiry,,Paperback,
978-1-60888-105-5,A Dictionary of Deception: The Tools  That You Need  to Overcome the Semantactical Games Played by Exploitative Elites,,EXPIRED,
978-1-60888-106-2,Brave Just Like Me,,Paperback,
978-1-60888-107-9,Silly Rhymes for Fun Times,,Paperback,
978-1-60888-108-6,EP-3E Collision: Cryptologic Damage Assessment and Incident Review,,Available for Download/Print,
978-1-60888-109-3,The Definitive Illustrated History of the Torpedo Boat,,Paperback,
978-1-60888-110-9,Secrets of the Modern World,,Paperback,
978-1-60888-111-6,Professor Barrister's Dinosaur Mysteries #4,,Paperback,
978-1-60888-112-3,Secrets of the Modern World,,Paperback,
978-1-60888-113-0,The Royal Navy's Revenge and Other Little-Known Encounters of the War at Sea,,Hardback,
978-1-60888-114-7,A Quarterly Day Book with Prompts and Tools,,Hardback,
978-1-60888-115-4,Re-Reading a Game of Thrones,,Hardback,
978-1-60888-116-1,Citizen Ariann,,Paperback,
978-1-60888-117-8,Arsenal Ship Omnibus,,Hardback,
978-1-60888-118-5,Investigation and Review of the Bureau of Prisons? Handling of the Transfer of Inmate James ?Whitey? Bulger,,Available for Download/Print,
978-1-60888-119-2,Jane's Fighting Ships 1900,Paperback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-120-8,Why the Uss Scorpion Was Lost,Hardback,AC (GBR)/AC (USA),
978-1-60888-121-5,Brave Just Like Me,Hardback,AC (USA)/AC (GBR),
978-1-60888-122-2,The Beauties of Shakspear,Hardback,AC (USA)/AC (GBR),
978-1-60888-123-9,The Navy's Nuclear Power Plant in Antarctica,Hardback,AC (USA),
978-1-60888-124-6,No-Fly Zones,Paperback,AC (USA)/AC (GBR),
978-1-60888-125-3,Tactical Nuclear Weapons In Southeast Asia,,,
978-1-60888-126-0,The Navy's Nuclear Power Plant in Antarctica,Hardback,AC (USA),
978-1-60888-127-7,Osama Bin Laden: A Case Study, ,CANCELLED,
978-1-60888-128-4,Osama Bin Laden,Paperback,AC (SYN)/AC (GBR)/AC (USA),
978-1-60888-129-1,Report on Digital Asset Financial Stability Risks and Regulation 2022,,,
978-1-60888-130-7,Reports on the Collisions of USS Mccain and USS Fitzgerald,Hardback,AC (USA),
978-1-60888-131-4,Command Investigation Concerning Chain of Command Actions with Regard to COVID-19 Onboard USS Theodore Roosevelt (CVN 71),Hardback,AC (USA),
978-1-60888-132-1,With the Battle Cruisers,Hardback,AC (GBR)/AC (USA),
978-1-60888-133-8,GOP Witnesses: What Their Disclosures Indicate About The State Of The Republican Investigations,,Available for Download/Print,
978-1-60888-134-5,The Mayaguez Incident Omnibus,Hardback,AC (GBR)/AC (USA),
978-1-60888-135-2,Bombs from On High,,,
978-1-60888-136-9,"The National Institutes of Health and EcoHealth Alliance Did Not Effectively Monitor Awards and Subawards, Resulting in Missed Opportunities to Oversee Research and Other Deficiencies, A-05-21-00025",,,
978-1-60888-137-6,The Art of War of Bernadotte,Paperback,AC (USA)/AC (GBR),
978-1-60888-138-3,Re-Reading Harry Potter and the Deathly Hallows,Hardback,AC (GBR)/AC (USA),
978-1-60888-139-0,Current Tactical Orders and Doctrine,,,
978-1-60888-140-6,Investigation of Competition in Digital Markets,Hardback,AC (USA),
978-1-60888-141-3,Lessons and Conclusions From the History of Navy and Military Doctrinal Development,,,
978-1-60888-142-0,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-143-7,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-144-4,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-145-1,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-146-8,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-147-5,Commandant's Planning Guidance,Hardback,AC (USA),
978-1-60888-148-2,Dictionary of Automatic Ideas,Hardback,AC (USA)/AC (GBR),
978-1-60888-149-9,Pt Boats Behind the Scenes,Hardback,AC (USA)/AC (GBR),
978-1-60888-150-5,"Unidentified Anomalous
lous Phenomena Disclosure Act of 2023",Available for Download/Print,Available for Download/Print,
978-1-60888-151-2,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-152-9,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-153-6,United States - Vietnam Relations 1945 - 1967,Hardback,AC (GBR)/AC (USA),
978-1-60888-154-3,Doubling the Fleet,Paperback,AC (USA)/AC (GBR),
978-1-60888-155-0,The Ghosts of Stalingrad,Paperback,AC (USA)/AC (GBR),
978-1-60888-156-7,"History of On-Orbit Satellite Fragmentations, 16th Edition",hc,Available for Download/Print,
978-1-60888-157-4,"DOMESTIC INVESTIGATIONS
AND OPERATIONS GUIDE
FEDERAL BUREAU OF INVESTIGATION Operations",hc,Available for Download/Print,
978-1-60888-158-1,United States - Vietnam Relations 1945 - 1967,Hardback,AC (USA)/AC (GBR),
978-1-60888-159-8,United States - Vietnam Relations 1945 - 1967,Hardback,AC (USA)/AC (GBR),
978-1-60888-160-4,Fleets of World War II,Hardback,AC (USA),
978-1-60888-161-1,Ten Propositions Regarding Air Power,Paperback,AC (GBR)/AC (USA),
978-1-60888-162-8,Halsey's Decision,Paperback,AC (USA),
978-1-60888-163-5,Memories and Records,Hardback,AC (GBR)/AC (USA),
978-1-60888-164-2,Empire of Chaos,Hardback,AC (USA),
978-1-60888-165-9,Battleship Victory,Hardback,AC (USA),
978-1-60888-166-6,Amalgamated International and U. S. Inland Navigation Rules,Hardback,AC (USA),
978-1-60888-167-3,Coast Guard Navigation Standards,Hardback,AC (USA),
978-1-60888-168-0,Why the USS Thresher (Ssn 593) Was Lost,Hardback,AC (USA),
978-1-60888-169-7,2030,Hardback,AC (USA)/AC (NZL),
978-1-60888-170-3,Survival,Hardback,AC (USA),
978-1-60888-171-0,Record of Proceedings of SCORPION Inquiry,Hardback,AC (USA),
978-1-60888-172-7,Steele Dossier Corroboration Spreadsheet,Hardback,AC (USA),
978-1-60888-173-4,New Research on the Voynich Manuscript,Hardback,AC (USA),
978-1-60888-174-1,Technical Articles about the Voynich Manuscript,Hardback,AC (USA),
978-1-60888-175-8,GRU Cybervillains,Hardback,AC (USA),
978-1-60888-176-5,Manhattan District History,Hardback,AC (USA),
978-1-60888-177-2,Coalition Space Operations,Hardback,AC (USA),
978-1-60888-178-9,History of Gun-Type Artillery-Fired Atomic Projectiles,Hardback,AC (USA),
978-1-60888-179-6,History of Gun-Type Bombs and Warheads,Hardback,AC (USA),
978-1-60888-180-2,Pieces of History,Hardback,AC (USA),
978-1-60888-181-9,Imperial Japanese Navy 1932-1945 Warships and Colours,Hardback,AC (USA),
978-1-60888-182-6,The Mueller Memos,Hardback,AC (USA),
978-1-60888-183-3,Night Attack by a Soviet Battalion,,Available for Download/Print,
978-1-60888-184-0,History of the Mk 25 Warhead,Hardback,AC (USA),
978-1-60888-185-7,The President's Daily Brief Fifty Years Ago,Hardback,AC (USA),
978-1-60888-186-4,Playbook for Early Response to High-Consequence Emerging Infectious Disease Threats and Biological Incidents,Hardback,AC (USA),
978-1-60888-187-1,Manhattan District History,Hardback,AC (USA),
978-1-60888-188-8,Navigation Rules and Regulations Handbook,Hardback,AC (USA),
978-1-60888-189-5,Ten Propositions Regarding Space Power,Hardback,AC (USA),
978-1-60888-190-1,4C-1000,Available for Download/Print,Available for Download/Print,
978-1-60888-191-8,Guide to Air Force Historical Literature 1943-1983,Paperback,AC (USA),
978-1-60888-192-5,US Department of the Space Force,Hardback,AC (USA),
978-1-60888-193-2,Movement and Maneuver in Deep Space,Hardback,AC (USA),
978-1-60888-194-9,Pillars of Russia's Disinformation and Propaganda Ecosystem,Paperback,AC (USA),
978-1-60888-195-6,USS Franklin CV-13 ,Available for Download/Print,Available for Download/Print,
978-1-60888-196-3,Chief of Space Operations' Planning Guidance,Hardback,AC (USA),
978-1-60888-197-0,Fast Space,Available for Download/Print,Available for Download/Print,
978-1-60888-198-7,Soviet Dependence on Space Systems,Paperback,AC (USA),
978-1-60888-199-4,The Great Space Force Debate,Hardback,AC (USA),
978-1-60888-200-7,A Good and Favorable Wind,Hardback,AC (USA),
978-1-60888-201-4,National Space Policy of the United States of America,Paperback,AC (USA),
978-1-60888-202-1,The President's Daily Brief Fifty Years Ago,Paperback,AC (USA),
978-1-60888-203-8,Pieces of History: Artifacts of the PT Boat Navy,DUPLICATE,Available for Download/Print,
978-1-60888-204-5,PT Boats Behind the Scenes,Paperback,AC (USA),
978-1-60888-205-2,MTBSTC,,Available for Download/Print,
978-1-60888-206-9,Manned Orbiting Laboratory Compendium, ,Available for Download/Print,
978-1-60888-207-6,The President's Daily Brief Fifty Years Ago: March 1971,,,
978-1-60888-208-3,The President's Daily Brief Fifty Years Ago: April 1971,,,
978-1-60888-209-0,The President's Daily Brief Fifty Years Ago: May 1971,,,
978-1-60888-210-6,The President's Daily Brief Fifty Years Ago,Paperback,AC (USA),
978-1-60888-211-3,"Space Doctrine Publication 1.0

", ,Available for Download/Print,
978-1-60888-212-0,"Space Doctrine Publication 2.0

", ,Available for Download/Print,
978-1-60888-213-7,"PT Boat Bases
", , ,
978-1-60888-214-4,SPACE DOCTRINE PUBLICATION 3-0, ,Available for Download/Print,
978-1-60888-215-1,"SDP 5-0, PLANNING (20 DEC 2021).PDF", ,Available for Download/Print,
978-1-60888-216-8,SDP 4.0, ,Available for Download/Print,
978-1-60888-217-5,Space Doctrine Omnibus, ,Available for Download/Print,
978-1-60888-218-2,CREWED MOON LANDING FACES MULTIPLE CHALLENGES, ,Available for Download/Print,
978-1-60888-219-9,Eccentric Dictionaries: An Experiment in AI-Enhanced Human Creativity,,Available for Download/Print,
978-1-60888-220-5,Raging Twenties,Paperback,AC (USA),
978-1-60888-221-2,Call of Nepal Centennial Edition,,,
978-1-60888-222-9,Dynamics Shaping Global Health Security in the Next Decade,,Available for Download/Print,
978-1-60888-223-6,An Operational Analysis For Air Force 2025: An Application Of Value-Focused Thinking To Future Air And Space Capabilities,,Available for Download/Print,
978-1-60888-224-3,The Handbook Of 5GW,,Paperback,
978-1-60888-225-0,Fleets of World War II (revised Edition),,Paperback,
978-1-60888-226-7,Critical Incident Review: Active Shooter at Robb Elementary School,,Available for Download/Print,
978-1-60888-227-4,"Materials in Support of H. Res. 24, Impeaching Donald John Trump, President of the United States, for High Crimes and Misdemeanors",,Paperback,
978-1-60888-228-1,Eccentric Dictionaries,,Hardback,
978-1-60888-229-8,UFOs and Related Subjects,,Available for Download/Print,
978-1-60888-230-4,Soviet Intelligence Communications [1952],,Available for Download/Print,
978-1-60888-231-1,Empire of Chaos,,Paperback,
978-1-60888-232-8,Capital Ships of the Imperial Japanese Navy 1868-1945,,Paperback,
978-1-60888-233-5,Raging Twenties,,Hardback,
978-1-60888-234-2,Jane's Fighting Ships 1920 (facsimile Edition),,Hardback,
978-1-60888-235-9,History of the Indian Tribes of North America [Single-Volume Facsimile Edition],,Hardback,
978-1-60888-236-6,Likely Threat Signatures 2030 - 2040,,Available for Download/Print,
978-1-60888-237-3,The Granddaughter Project,Hardback,AC (USA),
978-1-60888-238-0,The Granddaughter Project,Paperback,AC (USA),
978-1-60888-239-7,State of The Space Industrial Base 2022,Available for Download/Print,Available for Download/Print,
978-1-60888-240-3,Jane's Fighting Ships 1904. (Naval Encyclopedia and Year Book),Hardback,AC (USA),
978-1-60888-241-0,A Blue Arctic,Paperback,AC (USA),
978-1-60888-242-7,State of The Space Industrial Base 2021,,Available for Download/Print,
978-1-60888-243-4,National Security Strategy,Paperback,AC (USA),
978-1-60888-244-1,'It Was Compromised',Paperback,AC (USA), 
978-1-60888-245-8,State of The Space Industrial Base 2020,,,
978-1-60888-246-5,Sybil?s World:  An AI Reimagines Herself and Her World Using GPT-3,,,
978-1-60888-247-2,Sybil?s World:  An AI Reimagines Herself and Her World Using GPT-3,,,
978-1-60888-248-9,"Justification Book: Research, Development, Test & Evaluation, Space Force",Available for Download/Print,Available for Download/Print,
978-1-60888-249-6,"Mitigation of Orbital Debris in the New 
Space Age",,Available for Download/Print,
978-1-60888-250-2,FM 1-2.02 Military Symbology,,Available for Download/Print,
978-1-60888-251-9,SOTABOOK,, ,
978-1-60888-252-6,AIR FORCE SPACE SYSTEMS DEVELOPMENT PROGRAM,,Available for Download/Print,
978-1-60888-253-3, ,,Available for Download/Print,
978-1-60888-254-0,Dynamics Shaping  Global Health Security  in The Next Decade: National Intelligence Estimate,,Available for Download/Print,
978-1-60888-255-7,Fighting A Nuclear-Armed Regional Opponent: Is Victory Possible?,,Available for Download/Print,
978-1-60888-256-4,Annual Report Of The Signal Officer Of The Army To The Secretary Of War. 1865,,,
978-1-60888-257-1,NASA Historical Investigation into James E. Webb's Relationship to the Lavender Scare,Paperback,AC (USA),
978-1-60888-258-8,"Report Of Investigation: Security Failures At The United States Capitol On January 6, 2021",,Available,
978-1-60888-259-5,Spar-Torpedo Instructions for the United States Navy,Paperback,AC (USA),
978-1-60888-260-1,Great Power Competition: Implications for Defense-Issues for Congress,,Available,
978-1-60888-261-8,State of the Space Industrial Base,,Available,
978-1-60888-262-5,Space Diplomacy: Deterring Electromagnetic Weapons in Space,,Available,
978-1-60888-263-2,The NRO At Fifty,,Available,
978-1-60888-264-9,"A Modest Proposal: For Preventing Space Operations from Being a Burden to the Navy, and for Making the Space Cadre Beneficial to the Community",,Available,
978-1-60888-265-6,Spies in Space,,Available,
978-1-60888-266-3,Navy-After-Next Contingency Producible Corvette,,Available,
978-1-60888-267-0,Annotated Bibliography of Publications from the U.S. Navy's Marine Mammal Program,,Available,
978-1-60888-268-7,"The Impact of The General Board of The Navy
on Interwar Submarine Design",,Available,
978-1-60888-269-4,THE SOVIET HISTORY OF WORLD WAR II,,,
978-1-60888-270-0,Annotated Bibliography of Publications from the U.S. Navy's Marine Mammal Program,,,
978-1-60888-271-7,Improved Anti-Submarine Warfare (ASW) Effectiveness,,Available,
978-1-60888-272-4,Proceedings of the Board of Investigation in the case of Mr. James V. Forrestal,,Available,
978-1-60888-273-1,The Effects of Sea Mining on Amphibious Warfare,,Available,
978-1-60888-274-8,avigation Rules and Regulations Handbook,,,
978-1-60888-275-5,Marine Tanks: The Hard Punch of America's Middle-Weight Fighting Force,,,
978-1-60888-276-2,Comfortable with Chaos,,Available,
978-1-60888-277-9,"Changes to United States Navy Submarine Design and Construction During World War I, as Determined by The General Board",,Available,
978-1-60888-278-6,Soviet Naval Special Purpose Forces: Origins and Operations in World War II,,Available,
978-1-60888-279-3,The Future of Strategic ASW,,Available,
978-1-60888-280-9,Literature Review of Colorimetric Indicators for Nerve-Agent Detection,,,
978-1-60888-281-6,A Fork in the Path to the Heavens,,,
978-1-60888-282-3,"Biogeochemistry, Planetary Protection, and Astromaterials Curation:",,,
978-1-60888-283-0,Development of Three Cognitive Assessments for Officer Classification ,,,
978-1-60888-284-7,Analysis of Pathways to Reach Net Zero Naval Operations by 2050 ,,,
978-1-60888-285-4,Moon-to-Mars Architecture Definition Document (ESDMD-001) ,,,
978-1-60888-286-1,JWST from below,,,
978-1-60888-287-8,"Recommendations for Developing Space Suit Integrated Food Systems and Delivering Nutrition Before, During, and After Lunar EVA",,,
978-1-60888-288-5,Spacecraft Anomalies and Failures Workshop 2023,,,
978-1-60888-289-2,Wireless Power Transmission (WPT) Technology,,,
978-1-60888-290-8,"Exploring Coupled Land-Atmosphere Carbon Dynamics and
Seasonal Carbon Forecast Skill",,,
978-1-60888-291-5,Linking Online Engagement to Pandemic Responses,,,
978-1-60888-292-2,Material Specifications for Attack Countermeasures on Bridges,,,
978-1-60888-293-9,Eurasia v. NATOstan,,,
978-1-60888-294-6,PT Boat Bases: Volume 1: Pacific 1942-1943,,,
978-1-60888-295-3,Eurasia v. NATOstan,,,
978-1-60888-296-0,Annual Threat Assessment of the U.S. Intelligence Community [Annotated],,,
978-1-60888-297-7,CIA ANALYSIS OF THE WARSAW PACT FORCES: THE IMPORTANCE OF CLANDESTINE REPORTING,,,
978-1-60888-298-4,United States Antarctic Program (USAP) Sexual Assault/Harassment Prevention and Response (SAHPR),,,
978-1-60888-299-1,Warsaw Pact Forces Opposite NATO [Annotated]: National Intelligence Estimate,,,
978-1-60888-300-4,"Japanese 18"" Gun Mounts [Annotated]",,,
978-1-60888-301-1,Psychological Warfare: Selected and Annotated Bibliography [Annotated]:,,,
978-1-60888-302-8,Analysis of Psychological Operations (PSYOP),,,
978-1-60888-303-5,Codes and Ciphers of the Civil War,,,
978-1-60888-304-2,The National Security Agency and The EC-121 Shootdown,,,
978-1-60888-305-9,Report to Congress ... (NSM-20),,,
978-1-60888-306-6,Operation REGAL: The Berlin Tunnel,,,
978-1-60888-307-3,Collateral Damage to Satellites from An EMP Attack,,,
978-1-60888-308-0,United States High-Altitude Test Experiences: A Review Emphasizing the Impact on the Environment,,,
978-1-60888-309-7,Strategic Sealift:  Decisions Today to Ensure Tomorrow,,,
978-1-60888-310-3,CIA and Dr. Zhivago,,,
978-1-60888-311-0,Space-Based Solar Power,,,
978-1-60888-312-7,Friedman Lectures on Cryptology,,,
978-1-60888-313-4,An Operational Analysis For Air Force 2025: An Application Of Value-Focused Thinking To Future Air And Space Capabilities,,,
978-1-60888-314-1,John C. Hartfield's Lisbonian Selection of Roots and Terminals,,,
978-1-60888-315-8,Feasibility Study of a Satellite Solar Power Station,,,
978-1-60888-316-5,Glossary of erbo-Croatian ,,,
 ,Naval War College Style Guide,,,
978-1-60888-318-9,Rumsfeld report,,,
978-1-60888-319-6,Articles on Crypography and Crypotlogy,,,
978-1-60888-320-2,The Soviet Bloc Role In International Terrorism And Revolutionary Violence,,,
978-1-60888-321-9,"	
Fighting A Nuclear-Armed Regional Opponent: Is Victory Possible?",,,
978-1-60888-322-6,Wargame 3-14: Implications of Events in Ukraine for the U.S. Army Analysis,,,
978-1-60888-323-3,Army Expeditionary Intermodal Operations,,,
978-1-60888-324-0,"Military Cryptanalysis, Part I",,,
978-1-60888-325-7,Antarctic Dive Guide,,,
978-1-60888-326-4,Situational Awareness: The Decade Ahead,,,
