ISBN13,Title,Format,Status,NOTES
978-1-60888-000-3,Azkatraz 2009,Paperback,AC (USA)/AC (GBR),
978-1-60888-001-0,The Ultimate Unofficial Guide to the Harry Potter Fandom,Paperback,OS (USA)/OS (GBR),
978-1-60888-002-7,The Simple Sabotage Manual,Paperback,AC (USA)/AC (GBR),
978-1-60888-003-4,Small Combatants for the Homeland MissionSpie,Hardback,AC (USA)/AC (GBR),DUPLICATE
978-1-60888-004-1,The Young Conservative's Field Guide,Paperback,OS (USA)/OS (GBR),
978-1-60888-005-8,Professor Barrister's Dinosaur Mysteries #1,Paperback,AC (GBR)/AC (USA),
978-1-60888-006-5,Journey to the End of the Earth,Paperback,AC (USA)/AC (GBR),
978-1-60888-007-2,Fifty Years of Flight Research,Hardback,AC (USA)/AC (GBR),
978-1-60888-008-9,European Axis Signal Intelligence in World War II,Hardback,AC (SYN)/AC (USA)/AC (GBR),
978-1-60888-009-6,The Cold War Sag,Paperback,AC (USA)/AC (GBR),
978-1-60888-010-2,THE LOST SYMBOL -- Found: Unauthorized Analysis of Dan Brown's Novel,,Available for Download/Print,
978-1-60888-011-9,The Lost Symbol -- Found,Paperback,AC (USA)/AC (GBR),
978-1-60888-012-6,Tora Bora Revisited,Paperback,AC (USA)/AC (GBR),
978-1-60888-013-3,"U S Patrol Torpedo Boats in World War II , 1939-1945",Paperback,AC (USA)/AC (GBR),
978-1-60888-014-0,The Young Conservative's Field Guide,Paperback,AC (USA)/AC (GBR),
978-1-60888-015-7,German Underwater Ordnance Mines,Paperback,AC (USA)/AC (GBR),
978-1-60888-016-4,"Warner Bros Entertainment, Inc and J K Rowling V Rdr Books and 10 Does",Paperback,AC (USA)/AC (GBR),
978-1-60888-017-1,Skeeter Uses Manners,Paperback,AC (USA)/AC (GBR),
978-1-60888-018-8,Professor Barrister's Dinosaur Mysteries #2,Paperback,AC (USA)/AC (GBR),
978-1-60888-019-5,You've Got to Stand for Something,Paperback,AC (SYN)/AC (USA)/AC (GBR),
