ESCA_SI_Down,ESCA_SII_Down,ESCA_SIII_Down,ESCA_SIV_Down,ESCA_SI_Up,ESCA_SII_Up,ESCA_SIII_Up,ESCA_SIV_Up,STAD_SI_Down,STAD_SII_Down,STAD_SIII_Down,STAD_SIV_Down,STAD_SI_Up,STAD_SII_Up,STAD_SIII_Up,STAD_SIV_Up,COAD_SI_Down,COAD_SII_Down,COAD_SIII_Down,COAD_SIV_Down,COAD_SI_Up,COAD_SII_Up,COAD_SIII_Up,COAD_SIV_Up,READ_SI_Down,READ_SII_Down,READ_SIII_Down,READ_SIV_Down,READ_SI_Up,READ_SII_Up,READ_SIII_Up,READ_SIV_Up
TRGV1,ARSLP1,ATP5PFP1,MT1JP,,DUXAP9,RPLP0P2,,IGKV2_18,MT1JP,IGHV8_51_1,MT1JP,OR10J3,PTTG3P,DDX12P,PTTG3P,SLC6A10P,NPAP1P9,CETN4P,PLAC9P1,FAR2P1,ATP5F1EP2,FKBP9P1,YWHAQP4,TRGV10,H2BP1,H2BP1,NPAP1P9,DUSP5P1,TPRXL,DUSP5P1,ATP5F1EP2
BCORP1,ARSDP1,MT1JP,AOC4P,,KRT16P6,TMPOP2,,IGHV8_51_1,IGHV3_69_1,MT1JP,AOC4P,KLKP1,APOC1P1,APOC1P1,PHB1P1,NPAP1P9,IGLC6,SFTA1P,NPAP1P9,ATP5F1EP2,TPRXL,YWHAQP4,FAR2P1,PLAC9P1,CETN4P,CETN4P,H2BP1,HSP90AA4P,RRP7BP,HSP90AA4P,TPRXL
H2BP1,CCT8P1,AOC4P,MT1L,,MAGEA5P,CSTP2,,MT1JP,,MT1L,IGHV3_69_1,DEFB122,IFIT1P1,HSPD1P8,HSPD1P8,IGLC6,H2BP1,MYLKP1,IGLC6,TPRXL,DUSP5P1,FAR2P1,ATP5F1EP2,NPAP1P9,SFTA1P,SFTA1P,CETN4P,PTTG3P,DUSP5P1,SLCO1B7,RRP7BP
TSSC2,ATP5PFP1,FCGR1CP,FCGR1CP,,RPLP0P2,,,MT1L,,IGHV3_69_1,MALLP2,SLCO1B7,NEPNP,NEPNP,NEPNP,H2BP1,CETN4P,KRT223P,KRT224P,DUSP5P1,HSP90AA4P,ATP5F1EP2,TPRXL,H2BP1,TP73_AS1,TP73_AS1,SFTA1P,HSPD1P1,HSP90AA4P,HSP90AB2P,DUSP5P1
ARSLP1,HSPD1P11,,,,WFDC21P,,,IGHV3_69_1,,,,PTTG3P,H2AC9P,H2AC9P,OACYLP,KRT224P,SFTA1P,CXCR2P1,CETN4P,HSP90AA4P,SLCO1B7,TPRXL,DUSP5P1,CETN4P,KRT223P,ZNF826P,TP73_AS1,PRDX1P1,SLCO1B7,PTTG3P,HSP90AA4P
CETN4P,MT1JP,,,,FSCN1P1,,,,,,,PHB1P1,ANKRD30BP2,SIRPB3P,DUXAP9,CETN4P,TP73_AS1,SEC1P,SFTA1P,SLCO1B7,PTTG3P,DUSP5P1,BNIP3P1,SFTA1P,IGHV3_47,SEC1P,TRGV5P,KRT18P10,PTTG3P,LPAL2,HSP90AB2P
CCT8P1,AOC4P,,,,TMPOP2,,,,,,,HSPD1P8,OACYLP,ANKRD30BP2,HSPD1P6,SFTA1P,MYLKP1,UGT1A13P,TRGV5P,PTTG3P,RPLP0P6,BNIP3P1,HSP90AA4P,TP73_AS1,ZNF826P,GULOP,KRT223P,PSMA6P1,LPAL2,HSPD1P1,LPAL2
TRGV6,FCGR1CP,,,,CSTP2,,,,,,,NEPNP,RPL36P16,OACYLP,COL6A4P1,TP73_AS1,KRT223P,TLR12P,MYLKP1,HSPD1P1,PRDX1P1,HSP90AA4P,SLCO1B7,KRT223P,SEC1P,ZNF542P,ABCC13,CCT7P1,HSPD1P1,PRDX1P1,HSPD1P1
PGBP,,,,,,,,,,,,ANKRD30BP2,DUXAP9,RPL36P16,HMGA1P6,MYLKP1,SEC1P,ABCC13,KRT223P,RPLP0P6,IFIT1P1,SLCO1B7,PTTG3P,ZNF542P,ZNF542P,ABCC13,TRBV21_1,OACYLP,DDX12P,DDX12P,CCT7P1
TP73_AS1,,,,,,,,,,,,OACYLP,HSPD1P6,DUXAP9,MXRA5Y,KRT223P,UGT1A13P,TNXA,IGHV3_47,PRDX1P1,CCT7P1,PTTG3P,PRDX1P1,ABCC13,ABCC13,IGKV2_29,IGKV2_29,HSP90AA2P,HSPD1P7,HSPD1P7,OACYLP
ATP5F1BP1,,,,,,,,,,,,RPL36P16,COL6A4P1,ENSG00000226918,SULT1D1P,SEC1P,TLR12P,IGKV2_29,CXCR2P1,IFIT1P1,OACYLP,PRDX1P1,IFIT1P1,TNXA,TNXA,IGHV3_71,IGHV8_51_1,TFDP1P1,IFIT1P1,IFIT1P1,HSP90AA2P
ATP5PFP1,,,,,,,,,,,,DUXAP9,PNPLA10P,DDX11L16,RPLP0P2,UGT1A13P,ZNF542P,IGHV3_71,SEC1P,CCT7P1,HSP90AA2P,IFIT1P1,CCT7P1,TRGV7,IGKV1_13,MT1JP,MT1JP,SCDP1,CCT7P1,CCT7P1,DUXAP9
ZNF542P,,,,,,,,,,,,HLA_S,KIF19BP,RBMY2JP,HSPD1P5,TLR12P,ABCC13,IGKV2_18,UGT1A13P,OACYLP,RPL36P16,CCT7P1,OACYLP,IGKV1_13,IGKV2_29,CYP2B7P,CYP2B7P,FTLP3,OACYLP,OACYLP,SCDP1
MT1JP,,,,,,,,,,,,CSTP1,HMGA1P6,CXCR2P1,HSPD1P3,ZNF542P,TNXA,IGHV8_51_1,TLR12P,HSP90AA2P,DUXAP9,OACYLP,HSP90AA2P,IGKV2_29,IGHV3_71,AOC4P,FTH1P13,PGK1P1,HSP90AA2P,HSP90AA2P,FTLP3
AOC4P,,,,,,,,,,,,HSPD1P6,MXRA5Y,HSPD1P6,PIGAP1,ABCC13,IGKV2_29,MT1JP,GULOP,RPL36P16,SCDP1,HSP90AA2P,RPL36P16,MT1JP,IGHV8_51_1,MT1L,AOC4P,SNRPD2P1,RPL36P16,DUXAP9,COL6A4P2
MT1L,,,,,,,,,,,,COL6A4P1,CTBP2P1,COL6A4P1,NANOGP7,TNXA,IGHV3_71,CYP2B7P,ABCC13,TFDP1P1,FTLP3,RPL36P16,TFDP1P1,NBEAP1,MT1JP,ENSG00000277040,MT1IP,RPS15P5,DUXAP9,SCDP1,PGK1P1
FCGR1CP,,,,,,,,,,,,PNPLA10P,ASS1P7,KIF19BP,VENTXP1,IGKV2_29,IGKV2_18,MT1IP,TNXA,DUXAP9,RBMY2JP,DUXAP9,DUXAP9,AOC4P,AOC4P,IGHV3_69_1,ENSG00000277040,HSPD1P6,SCDP1,FTLP3,HSPD1P6
,,,,,,,,,,,,KIF19BP,SULT1D1P,MXRA5Y,TMPOP2,IGHV3_71,IGHV8_51_1,YWHAEP7,IGKV1_13,SCDP1,PGK1P1,SCDP1,SCDP1,MT1L,MT1L,,IGHV3_69_1,COL6A4P1,FTLP3,COL6A4P2,COL6A4P1
,,,,,,,,,,,,MTCO3P10,ARGFXP1,SULT1D1P,KRT18P55,IGKV2_18,MT1JP,ENSG00000277040,IGKV2_29,FTLP3,SNRPD2P1,FTLP3,FTLP3,ENSG00000277040,MT1IP,,,CCT5P2,COL6A4P2,PGK1P1,CCT5P2
,,,,,,,,,,,,MTCO1P5,CCT4P1,RPLP0P2,CSTP2,IGHV8_51_1,CYP2B7P,IGHV3_69_1,IGHV3_71,RBMY2JP,COL6A4P1,RBMY2JP,RBMY2JP,ENSG00000286215,ENSG00000277040,,,UBA52P4,PGK1P1,SNRPD2P1,SNAP23P1
,,,,,,,,,,,,HMGA1P6,AOX2P,HSPD1P3,,MT1JP,AOC4P,,IGKV2_18,PGK1P1,CCT5P2,PGK1P1,PGK1P1,,IGHV3_69_1,,,VDAC1P6,SNRPD2P1,RPS15P5,CLK2P1
,,,,,,,,,,,,SULT1D1P,RPLP0P2,PIGAP1,,CYP2B7P,MT1IP,,IGHV8_51_1,SNRPD2P1,SNAP23P1,SNRPD2P1,SNRPD2P1,,,,,ATP5F1BP1,HSPD1P6,HSPD1P6,NRADDP
,,,,,,,,,,,,MYADML,ENSG00000246130,NANOGP7,,AOC4P,YWHAEP7,,MT1JP,COL6A4P1,UBA52P4,COL6A4P1,COL6A4P1,,,,,EIF4EP1,COL6A4P1,COL6A4P1,PKMP1
,,,,,,,,,,,,MOXD2P,HSPD1P5,TMPOP2,,MT1IP,ENSG00000277040,,CYP2B7P,CCT5P2,KIF19BP,CCT5P2,CCT5P2,,,,,WDR82P1,CCT5P2,CCT5P2,RANP1
,,,,,,,,,,,,CCT4P1,HSPD1P3,CSTP2,,YWHAEP7,IGHV3_69_1,,MT1IP,SNAP23P1,ATP5F1BP1,SNAP23P1,SNAP23P1,,,,,ENSG00000234985,VDAC1P6,CLK2P1,ASS1P7
,,,,,,,,,,,,GUCY2GP,NANOGP7,,,ENSG00000277040,,,YWHAEP7,UBA52P4,EIF4EP1,UBA52P4,UBA52P4,,,,,SLC25A5P2,CLK2P1,MIPEPP3,PPP2R5CP
,,,,,,,,,,,,AOX2P,TMPOP2,,,IGHV3_69_1,,,ENSG00000277040,KIF19BP,ENSG00000234985,KIF19BP,KIF19BP,,,,,NRADDP,EIF4EP1,ENSG00000234985,RPLP0P2
,,,,,,,,,,,,RPLP0P2,KRT18P55,,,,,,IGHV3_69_1,ATP5F1BP1,NRADDP,VDAC1P6,HMGA1P6,,,,,PKMP1,ENSG00000234985,NRADDP,MTCH2P1
,,,,,,,,,,,,ENSG00000246130,CSTP2,,,,,,,EIF4EP1,COPRSP1,ATP5F1BP1,EIF4EP1,,,,,RANP1,NRADDP,PKMP1,HMGA1P2
,,,,,,,,,,,,HSPD1P5,,,,,,,,ENSG00000234985,PKMP1,EIF4EP1,ENSG00000234985,,,,,ASS1P7,PKMP1,RANP1,HSPD1P5
,,,,,,,,,,,,CCT7P2,,,,,,,,NRADDP,RANP1,ENSG00000234985,NRADDP,,,,,PPP2R5CP,RANP1,POU5F1P4,CCT5P1
,,,,,,,,,,,,OR10J8P,,,,,,,,COPRSP1,ATP5PFP1,ENSG00000235546,COPRSP1,,,,,RPLP0P2,POU5F1P4,PPP2R5CP,CCT6P2
,,,,,,,,,,,,HSPD1P3,,,,,,,,PKMP1,PPP2R5CP,PKMP1,PKMP1,,,,,MTCH2P1,PPP2R5CP,MOXD2P,HSPD1P2
,,,,,,,,,,,,LY6G6E,,,,,,,,RANP1,CCT4P1,RANP1,RANP1,,,,,PBX2P1,RPLP0P2,MAGEA5P,LY6G6E
,,,,,,,,,,,,ILF2P2,,,,,,,,SULT1D1P,RPLP0P2,SULT1D1P,ATP5PFP1,,,,,HMGA1P2,MTCH2P1,RPLP0P2,HSPD1P12
,,,,,,,,,,,,PIGAP1,,,,,,,,ATP5PFP1,MTCH2P1,ATP5PFP1,PPP2R5CP,,,,,HSPD1P5,HMGA1P2,MTCH2P1,HSPD1P4
,,,,,,,,,,,,NANOGP7,,,,,,,,MAGEA5P,ENSG00000246130,PPP2R5CP,MAGEA5P,,,,,CCT5P1,HSPD1P5,HMGA1P2,TFDP1P3
,,,,,,,,,,,,VENTXP1,,,,,,,,CCT4P1,HMGA1P2,MAGEA5P,RPLP0P2,,,,,CCT6P2,CCT5P1,HSPD1P5,HSP90B2P
,,,,,,,,,,,,TMPOP2,,,,,,,,RPLP0P2,HSPD1P5,CCT4P1,MTCH2P1,,,,,LY6G6E,CCT6P2,CCT5P1,FSCN1P1
,,,,,,,,,,,,KRT18P55,,,,,,,,MTCH2P1,CCT5P1,AOX2P,HMGA1P2,,,,,HSPD1P12,HSPD1P2,CCT6P2,FCGR1CP
,,,,,,,,,,,,ESPNP,,,,,,,,ENSG00000246130,CCT6P2,RPLP0P2,HSPD1P5,,,,,HSPD1P4,LY6G6E,HSPD1P2,ESPNP
,,,,,,,,,,,,CSTP2,,,,,,,,HMGA1P2,HSPD1P2,MTCH2P1,CCT5P1,,,,,HSP90B2P,HSPD1P12,LY6G6E,LYPLA2P2
,,,,,,,,,,,,NBPF13P,,,,,,,,HSPD1P5,DDX18P5,HMGA1P2,CCT6P2,,,,,FSCN1P1,HSP90B2P,HSPD1P12,MKI67P1
,,,,,,,,,,,,,,,,,,,,CCT5P1,LY6G6E,HSPD1P5,HSPD1P2,,,,,TMPOP2,FSCN1P1,HSPD1P4,GTF2IP20
,,,,,,,,,,,,,,,,,,,,CCT6P2,HSPD1P12,CCT5P1,HSPD1P3,,,,,ESPNP,FCGR1CP,HSP90B2P,CSTP2
,,,,,,,,,,,,,,,,,,,,ALG3P1,HSPD1P4,CCT6P2,DDX18P5,,,,,LYPLA2P2,ESPNP,FSCN1P1,HSP90AB4P
,,,,,,,,,,,,,,,,,,,,HSPD1P2,SORD2P,HSPD1P2,LY6G6E,,,,,MKI67P1,LYPLA2P2,TMPOP2,
,,,,,,,,,,,,,,,,,,,,HSPD1P3,HSP90B2P,HSPD1P3,HSPD1P12,,,,,,MKI67P1,KRT18P55,
,,,,,,,,,,,,,,,,,,,,LY6G6E,WFDC21P,LY6G6E,FSCN1P1,,,,,,CSTP2,FCGR1CP,
,,,,,,,,,,,,,,,,,,,,HSPD1P12,FSCN1P1,HSPD1P12,CSTP2,,,,,,HSP90AB4P,ESPNP,
,,,,,,,,,,,,,,,,,,,,HSPD1P4,MKI67P1,HSPD1P4,,,,,,,,LYPLA2P2,
,,,,,,,,,,,,,,,,,,,,SORD2P,CSTP2,SORD2P,,,,,,,,MKI67P1,
,,,,,,,,,,,,,,,,,,,,WFDC21P,,HSP90B2P,,,,,,,,CSTP2,
,,,,,,,,,,,,,,,,,,,,FSCN1P1,,FSCN1P1,,,,,,,,HSP90AB4P,
,,,,,,,,,,,,,,,,,,,,MKI67P1,,TMPOP2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,CSTP2,,MKI67P1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,CSTP2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,HSP90AB4P,,,,,,,,,
