ESCA_SI_Down,ESCA_SII_Down,ESCA_SIII_Down,ESCA_SIV_Down,ESCA_SI_Up,ESCA_SII_Up,ESCA_SIII_Up,ESCA_SIV_Up,STAD_SI_Down,STAD_SII_Down,STAD_SIII_Down,STAD_SIV_Down,STAD_SI_Up,STAD_SII_Up,STAD_SIII_Up,STAD_SIV_Up,COAD_SI_Down,COAD_SII_Down,COAD_SIII_Down,COAD_SIV_Down,COAD_SI_Up,COAD_SII_Up,COAD_SIII_Up,COAD_SIV_Up,READ_SI_Down,READ_SII_Down,READ_SIII_Down,READ_SIV_Down,READ_SI_Up,READ_SII_Up,READ_SIII_Up,READ_SIV_Up
CCT8L1P,CCT8L1P,CCT8L1P,FBXL21P,VNN3P,VNN3P,KRT87P,VNN3P,MT1CP,IGKV2D_26,TDH,MT1CP,GUCY1B2,GUCY1B2,GUCY1B2,GUCY1B2,NAPSB,NAPSB,SIGLEC17P,NAPSB,MYH16,MYH16,MYH16,MYH16,NAPSB,NAPSB,NAPSB,NAPSB,MYH16,MYH16,MYH16,MYH16
CCDC144BP,FER1L4,DRD5P2,OR7E12P,FAR2P1,KRT17P1,FAR2P1,KRT87P,IGKV2D_26,PLAC9P1,IGKV2D_26,GYG2P1,KRT87P,KRT87P,KRT87P,KRT17P1,CMAHP,CMAHP,CLECL1P,CMAHP,FER1L4,FER1L4,FER1L4,FER1L4,TDH,CMAHP,CMAHP,TDH,FER1L4,FER1L4,FER1L4,FER1L4
FBXL21P,FAR2P2,OR7E12P,CHIAP2,H2AC9P,FAR2P1,DUSP5P1,FAR2P1,PLAC9P1,IGLC6,PLAC9P1,IGKV2D_26,SAA3P,SAA3P,C3P1,KRT87P,SIGLEC17P,SIGLEC17P,MT1CP,SIGLEC17P,VNN3P,VNN3P,VNN3P,LCN1P1,CCDC144BP,SIGLEC17P,SIGLEC17P,CMAHP,LRP5L,LRP5L,GUCY1B2,RPS10P5
CMAHP,OR7E12P,CHIAP2,H2BP1,DUXAP9,TPRXL,KLKP1,HSPD1P1,IGLC6,IGHV3_47,IGLC6,PLAC9P1,C3P1,C3P1,FAR2P1,C3P1,NMRAL2P,NMRAL2P,MT1DP,FAR2P2,GUCY1B2,ZDHHC8BP,LCN1P1,GUCY1B2,CMAHP,NMRAL2P,CLECL1P,SIGLEC17P,RPS10P5,GUCY1B2,ZDHHC8BP,GUCY1B2
SIGLEC17P,FCGR1BP,TRGV1,CCT8P1,,DUSP5P1,GGNBP1,DUXAP9,IGHV3_47,ATP5PFP1,IGHV3_47,IGLC6,FAR2P1,FAR2P1,DUSP5P1,FAR2P1,CLECL1P,FAR2P2,TRGV10,CLECL1P,ZDHHC8BP,KRT87P,ZDHHC8BP,ZDHHC8BP,SIGLEC17P,CLECL1P,MT1CP,NMRAL2P,GUCY1B2,ZDHHC8BP,KRT87P,ZDHHC8BP
FAR2P2,CHIAP2,H2BP1,PGBP,,KRT17P2,DGAT2L7P,TMPOP2,ATP5PFP1,ABCC13,ATP5PFP1,IGHV3_47,BPIFA4P,DUSP5P1,KRT17P2,DUSP5P1,H1_9P,CLECL1P,PLAC9P1,GGT3P,KRT87P,USP41P,KRT87P,KRT87P,NMRAL2P,MT1DP,MT1DP,CLECL1P,C19orf48P,KRT87P,C19orf48P,KRT87P
TRPC2,GYG2P1,TSSC2,CTF2P,,KLKP1,TRBV23_1,,TNXA,IGKV1_13,ABCC13,ATP5PFP1,DUSP5P1,DPPA3P2,DPPA3P2,DPPA3P2,GGT3P,MT1CP,NPAP1P9,MT1CP,USP41P,C19orf48P,AKR1C6P,AKR1C6P,TRPC2,IGKV2D_26,IGKV2D_26,MT1CP,C3P1,USP41P,C3P1,C19orf48P
OR7E12P,TRGV1,CCT8P1,ATP5PFP1,,SLC6A10P,H2AC9P,,IGKV1_13,IGHV3_71,IGKV1_13,IGKV2_29,PRSS59P,KLKP1,FCGR1BP,FCGR1BP,MT1CP,MT1DP,IGLC6,MT1DP,C19orf48P,C3P1,USP41P,USP41P,CLECL1P,PLAC9P1,TRGV10,MT1DP,ATP5F1EP2,C19orf48P,ATP5F1EP2,C3P1
FCGR1BP,H2BP1,PGBP,ZNF542P,,H2AC9P,DUXAP9,,IGKV2_29,IGKV2_18,IGHV3_71,IGHV3_71,DPPA3P2,FCGR1BP,SLCO1B7,HSP90AA4P,MT1DP,TRGV10,H2BP1,TRGV10,C3P1,YWHAQP4,C19orf48P,C19orf48P,H1_9P,NPAP1P9,PLAC9P1,IGKV2D_26,TPRXL,C3P1,TPRXL,NANOGP1
CHIAP2,TSSC2,RPS24P1,UOX,,DUX4L9,CXCR2P1,,IGHV3_71,IGHV8_51_1,IGKV2_18,IGKV2_18,ADAM5,SLCO1B7,PTTG3P,SLCO1B7,PLAC9P1,PLAC9P1,KRT224P,TRBJ2_2P,YWHAQP4,FAR2P1,C3P1,C3P1,MT1DP,IGLC6,NPAP1P9,PLAC9P1,RRP7BP,YWHAQP4,RRP7BP,YWHAQP4
