Z;Atom;Refs.;State;Alpha;Year;Comments
3;Li;[\citenum{Zhang2007a}];$^2S_{1/2}$;$164.21$;2007;Frozen core Hamiltonian, semi-empirical polarisation potential
3;Li;[\citenum{Johnson2008}];$^2S_{1/2}$;$164.084$;2008;R, Dirac, MBPT, Breit, QED, recoil ($^7$Li)
3;Li;[\citenum{Puchalski2011}];$^2S_{1/2}$;$164.1125 \pm 0.0005$;2011;Hyleraas basis, RMW + Darwin + Breit, QED, recoil ($^7$Li)
3;Li;[\citenum{Schwerdtfeger2019}];$^2S_{1/2}$;$164.1125 \pm 0.0005$;2019;recommended
3;Li;[\citenum{Smialkowski2021}];$^2S_{1/2}$;$164.2$;2021;NR, CCSD(T)
3;Li;[\citenum{Badhan2022}];$^2S_{1/2}$;$162.00 \pm 0.24$;2022;R, Dirac-HF, pertubative singles + doubles method, RPA
3;Li;[\citenum{Li2024}];$^2S_{1/2}$;$165.0 \pm 0.1$;2024;NR, neural network QMC, DS (DeepSolid) method
4;Be;[\citenum{Müller1984}];$^1S_0$;$37.29$;1984;All-electron SCF plus valence CI
4;Be;[\citenum{Tunega1997}];$^1S_0$;$37.73 \pm 0.05$;1997;CCSD(T)
4;Be;[\citenum{Patil2000}];$^1S_0$;$37.9$;2000;Model potential
4;Be;[\citenum{Komasa2001}];$^1S$;$37.755$;2001;NR, exponentially correlated Gaussians [\citenum{Singer1997}]
4;Be;[\citenum{Mitroy2003}];$^1S_0$;$37.69$;2003;Combination of ab initio and semi-empirical methods
4;Be;[\citenum{Bendazzoli2004}];$^1S_0$;$37.807$;2004;CI, expanded London formula
4;Be;[\citenum{Porsev2006}];$^1S_0$;$37.76 \pm 0.22$;2006;R, Dirac, CI + MBPT2 + experimental data
4;Be;[\citenum{Komasa2001, Maroulis2006}];$^1S_0$;$37.739 \pm 0.030$;2006;R correction of -0.016 applied to value from ref [\citenum{Komasa2001}]
4;Be;[\citenum{Sahoo2008}];$^1S_0$;$37.80 \pm 0.47$;2008;R, Dirac, CCSD
4;Be;[\citenum{Singh2013}];$^1S_0$;$37.86 \pm 0.17$;2013;R, Dirac, MBPT, CCSD
4;Be;[\citenum{Jiang2015a, Cheng2013}];$^1S_0$;$37.73 \pm 0.04$;2015;Combination of theoretical (CICP) and experimental data
4;Be;[\citenum{A.Manz2019}];$^1S_0$;$37.75$;2019;NR, CCSD
4;Be;[\citenum{Visentin2019}];$^1S_0$;$37.69/37.71$;2019;CCSD(T), R X2C-0/NR-0
4;Be;[\citenum{Schwerdtfeger2019}];$--$;$37.74 \pm 0.03$;2019;recommended
4;Be;[\citenum{Smialkowski2021}];$^1S_0$;$37.7$;2021;NR, CCSD(T)
4;Be;[\citenum{Dong2021}];$^1S_0$;$37.614$;2021;R, MCDHF
4;Be;[\citenum{Wu2023}];$^1S_0$;$37.787$;2023;R, DF, CICP (CP: core polarization)
4;Be;[\citenum{Li2024}];$^1S_0$;$37.58 \pm 0.03$;2024;NR, neural network QMC, DS (DeepSolid) method
5;B;[\citenum{Werner1976}];$^2P$;$20.47$;1976;NR, PNO-CEPA, $M_L$ res.
5;B;[\citenum{Das1998}];$^2P$;$20.43 \pm 0.11$;1998;NR, CCSD(T), $M_L$ res.
5;B;[\citenum{Fleig2005}];$^2P$;$20.59$;2005;R, SF, MRCI, $M_L$ res.
5;B;[\citenum{Fleig2005}];$^2P_{1/2}/^2P_{3/2}$;$20.53/20.54$;2005;R, Dirac, MRCI, $M_J$ res.
5;B;[\citenum{A.Manz2019}];$^2P$;$20.42$;2019;NR, CCSD
5;B;[\citenum{Schwerdtfeger2019}];$--$;$20.5 \pm 0.1$;2019;recommended
5;B;[\citenum{Ehn2021}];$^2P$;$20.480$;2021;NR, CCSD(T), CBS(T, Q), CBS(Q, 5)
5;B;[\citenum{Wang2021}];$^2P$;$20.30 \pm 0.26$;2021;NR, CCSD(T)
6;C;[\citenum{Andersson1992}];$^3P$;$11.39$;1992;NR, CASPT2, $M_L$ res.
6;C;[\citenum{Das1998}];$^3P$;$11.67 \pm 0.07$;1998;NR, CCSD(T), $M_L$ res.
6;C;[\citenum{Thierfelder2008}];$^3P_0$;$11.26 \pm 0.20$;2008;R, Dirac + Gaunt, CCSD(T)
6;C;[\citenum{A.Manz2019}];$^3P$;$11.63$;2019;NR, CCSD
6;C;[\citenum{Schwerdtfeger2019}];$--$;$11.3 \pm 0.2$;2019;recommended
6;C;[\citenum{Wang2021}];$^3P$;$11.64 \pm 0.15$;2021;NR, CCSD(T)
6;C;[\citenum{Ehn2021}];$^3P$;$11.683$;2021;NR, CCSD(T), CBS(T, Q)
6;C;[\citenum{Ehn2021}];$^3P$;$11.324$;2021;NR, CCSD(T), CBS(Q, 5)
6;C;[\citenum{CanalNeto2021}];$^3P$;$11.542$;2021;R, CCSD(T)
6;C;[\citenum{Mori2023}];$^3P$;$11.61$;2023;R, CCC (convergent close-coupling method)
7;N;[\citenum{Molof1974, Alpher1959}];$^4S_{3/2}$;$7.6 \pm 0.4$;1974;exp.
7;N;[\citenum{Werner1976}];$^4S$;$7.43$;1976;NR, PNO-CEPA
7;N;[\citenum{Stiehler1995}];$^4S$;$7.36$;1995;NR, numerical MCSCF, M. res.
7;N;[\citenum{Das1998}];$^4S$;$7.26 \pm 0.05$;1998;NR, CCSD(T)
7;N;[\citenum{Roos2004}];$^4S$;$7.41$;2004;R, DK, CASPT2
7;N;[\citenum{Zeiss1977, Buchachenko2010}];$^4S_{3/2}$;$7.28$;2010;exp.
7;N;[\citenum{A.Manz2019}];$^4S$;$7.21$;2019;NR, CCSD
7;N;[\citenum{Schwerdtfeger2019}];$--$;$7.4 \pm 0.2$;2019;recommended
7;N;[\citenum{Visentin2020}];$^4S$;$7.2$;2020;AE, CCSD(T)
7;N;[\citenum{Wang2021}];$^4S$;$7.25 \pm 0.09$;2021;NR, CCSD(T)
7;N;[\citenum{Ehn2021}];$^4S$;$7.367$;2021;NR, CCSD(T), CBS(T, Q)
7;N;[\citenum{Ehn2021}];$^4S$;$7.153$;2021;NR, CCSD(T), CBS(Q, 5)
7;N;[\citenum{CanalNeto2021}];$^4S$;$7.178$;2021;R, CCSD(T)
7;N;[\citenum{Li2024}];$^4S$;$7.189 \pm 0.008$;2024;NR, neural network QMC, DS (DeepSolid) method
8;O;[\citenum{Alpher1959}];$^3P_2$;$5.2 \pm 0.4$;1959;exp.
8;O;[\citenum{Andersson1992}];$^3P$;$5.4$;1992;NR, CASPT2, $M_L$ res.
8;O;[\citenum{Werner1976, Lide2004}];$^3P$;$5.41 \pm 0.11$;2004;NR, PNO-CEPA, $M_L$ res.
8;O;[\citenum{Maroulis2006, Das1998}];$^3P$;$5.24 \pm 0.04$;2006;NR, CCSD(T), $M_L$ res.
8;O;[\citenum{A.Manz2019}];$^3P$;$5.15$;2019;NR, CCSD
8;O;[\citenum{Schwerdtfeger2019}];$--$;$5.3 \pm 0.2$;2019;recommended
8;O;[\citenum{Wang2021}];$^3P$;$5.21 \pm 0.07$;2021;NR, CCSD(T)
8;O;[\citenum{Ehn2021}];$^3P$;$5.145$;2021;NR, CCSD(T), CBS(T, Q)
8;O;[\citenum{Li2024}];$^3P$;$5.236 \pm 0.008$;2024;NR, neural network QMC, DS (DeepSolid) method
9;F;[\citenum{Werner1976}];$^2P$;$3.76$;1976;NR, PNO-CEPA, $M_L$ res.
9;F;[\citenum{Das1998}];$^2P$;$3.70 \pm 0.03$;1998;NR, CCSD(T), $M_L$ res.
9;F;[\citenum{MEDVEĎ2000a}];$^2P$;$3.76 \pm 0.06$;2000;NR, CASPT2, $M_L$ res.
9;F;[\citenum{A.Manz2019}];$^2P$;$3.62$;2019;NR, CCSD
9;F;[\citenum{Schwerdtfeger2019}];$--$;$3.74 \pm 0.08$;2019;recommended
9;F;[\citenum{Wang2021}];$^2P$;$3.68 \pm 0.05$;2021;NR, CCSD(T)
9;F;[\citenum{Ehn2021}];$^2P$;$3.701$;2021;NR, CCSD(T), CBS(T, Q)
9;F;[\citenum{Ehn2021}];$^2P$;$3.655$;2021;NR, CCSD(T), CBS(Q, 5)
9;F;[\citenum{Li2024}];$^2P$;$3.776 \pm 0.007$;2024;NR, neural network QMC, DS (DeepSolid) method
10;Ne;[\citenum{Werner1976}];$^1S$;$2.676$;1976;NR, PNNO-CEPA, $M_L$ res.
10;Ne;[\citenum{Huot1991}];$^1S_0$;$2.6669 \pm 0.0008$;1991;exp.
10;Ne;[\citenum{Rice1992}];$^1S$;$2.68$;1992;NR, CCSD(T)
10;Ne;[\citenum{Dalgarno1997b}];$^1S_0$;$2.663$;1997;exp.
10;Ne;[\citenum{Soldán2001a}];$^1S_0$;$2.66053 \pm 0.00001$;2001;CCSD(T), ECP
10;Ne;[\citenum{Hald2003}];$^1S$;$2.665$;2003;NR, CC3
10;Ne;[\citenum{Hald2003, Larsen1999, Nakajima2001}];$^1S$;$2.666$;2003;R, CC3 + FCI + DK3 correction
10;Ne;[\citenum{Maroulis2006}];$^1S_0$;$2.661 \pm 0.005$;2006;R, CCSD(T)
10;Ne;[\citenum{Gaiser2010}];$^1S_0$;$2.66110 \pm 0.00003$;2010;exp.
10;Ne;[\citenum{Chattopadhyay2012a, Orcutt1967}];$^1S_0$;$2.677 \pm 0.070$;2012;R, Dirac-Coulomb, non-linear PRCC
10;Ne;[\citenum{Gaiser2018}];$^1S_0$;$2.6610570 \pm 0.0000064$;2018;exp.
10;Ne;[\citenum{Schwerdtfeger2019}];$--$;$2.66110 \pm 0.00003$;2019;recommended
10;Ne;[\citenum{Lesiuk2020}];$^1S_0$;$2.66080 \pm 0.00036$;2020;R, QED, AE-CCSD(T), finite nucl. mass \& size corrections
10;Ne;[\citenum{Wang2021}];$^1S$;$2.662 \pm 0.034$;2021;NR, CCSD(T)
10;Ne;[\citenum{Hellmann2022}];$^1S_0$;$2.661067 \pm 0.000077$;2022;R, QED, AE-CCSDT(Q), finite nucl. mass \& size corrections
10;Ne;[\citenum{Mori2023}];$^1S_0$;$2.661 \pm 0.005$;2023;R, CCSD(T)
11;Na;[\citenum{Ekstrom1995}];$^2S_{1/2}$;$162.7 \pm 0.5$;1995;exp.
11;Na;[\citenum{Derevianko1999}];$^2S_{1/2}$;$162.6 \pm 0.3$;1999;R, SD all orders + exp. data
11;Na;[\citenum{Maroulis2006, Thakkar2005}];$^2S_{1/2}$;$162.88 \pm 0.60$;2006;R, CCSD(T)
11;Na;[\citenum{Holmgren2010}];$^2S_{1/2}$;$162.7 \pm 0.1/ \pm 1.2$;2010;exp.
11;Na;[\citenum{Ma2015}];$^2S_{1/2}$;$161 \pm 7.5$;2015;exp.
11;Na;[\citenum{Schwerdtfeger2019}];$--$;$162.7 \pm 0.5$;2019;recommended
11;Na;[\citenum{Smialkowski2021}];$^2S_{1/2}$;$163.9$;2021;NR, CCSD(T)
11;Na;[\citenum{Badhan2022}];$^2S_{1/2}$;$162.44 \pm 0.16$;2022;R, Dirac-HF, pertubative singles + doubles method, RPA
12;Mg;[\citenum{Lundin1973}];$^1S_0$;$71.5 \pm 3.5$;1973;exp.
12;Mg;[\citenum{Reinsch1976}];$^1S$;$71.32$;1976;NR, PNO-CEPA
12;Mg;[\citenum{Maeder1979}];$^1S_0$;$70.5$;1979;NR, CI + pseudo-potential
12;Mg;[\citenum{Archibong1991}];$^1S$;$71.7$;1991;NR, MBPT4
12;Mg;[\citenum{Sadlej1991a}];$^1S$;$71.8$;1991;NR, MBPT4
12;Mg;[\citenum{Stwalley1971, Stiehler1995}];$^1S_0$;$75.0 \pm 3.5$;1995;exp.
12;Mg;[\citenum{Derevianko1999}];$^1S_0$;$74.9 \pm 2.7$;1999;Hybrid-RCI + MBPT sum rule
12;Mg;[\citenum{Patil2000}];$^1S_0$;$72.0$;2000;Model potential
12;Mg;[\citenum{Bromley2002}];$^1S_0$;$71.4$;2002;CI, oscillator strength correction
12;Mg;[\citenum{Mitroy2003}];$^1S_0$;$71.35$;2003;Combination of ab initio and semi-empirical methods
12;Mg;[\citenum{Roos2004a}];$^1S$;$70.90$;2004;R, DK, CASPT2
12;Mg;[\citenum{Porsev2006, Porsev2006a}];$^1S_0$;$70.89$;2006;R, Dirac, CI + MBPT2 + experimental data
12;Mg;[\citenum{Maroulis2006}];$^1S_0$;$71.22 \pm 0.36$;2006;R, DK, CCSD(T)
12;Mg;[\citenum{Porsev2006}];$^1S_0$;$71.33$;2006;R, Dirac, CI + MBPT2
12;Mg;[\citenum{Porsev2006}];$^1S_0$;$71.3 \pm 0.7$;2006;R, Dirac, CI + MBPT2, recommended
12;Mg;[\citenum{Sahoo2008}];$^1S_0$;$73.4 \pm 2.3$;2008;R, Dirac, CCSD
12;Mg;[\citenum{Hohm2012}];$^1S_0$;$77.6 \pm 7.8$;2012;exp.
12;Mg;[\citenum{Singh2013}];$^1S_0$;$72.54 \pm 0.50$;2013;R, Dirac, MBPT, CCSD
12;Mg;[\citenum{Chattopadhyay2014}];$^1S_0$;$70.76$;2014;\makecell{R, Dirac + Breit, perturbed relativistic \\coupled-cluster theory (PRCC)}
12;Mg;[\citenum{Ma2015}];$^1S_0$;$59 \pm 16$;2015;exp.
12;Mg;[\citenum{Visentin2019}];$^1S_0$;$71.15/71.63$;2019;CCSD(T), R X2C-0/NR-0
12;Mg;[\citenum{Visentin2019}];$^1S_0$;$71.02/71.01$;2019;CCSD(T), R X2C-2/NR-2
12;Mg;[\citenum{Bala2019}];$^1S_0$;$73.0$;2019;R, KRCISD/aug-QZ
12;Mg;[\citenum{Schwerdtfeger2019}];$--$;$71.2 \pm 0.4$;2019;recommended
12;Mg;[\citenum{Shukla2020}];$^1S_0$;$71.9$;2020;R, MCDF
12;Mg;[\citenum{CanalNeto2021}];$^1S_0$;$72.121$;2021;R, CCSD(T)
12;Mg;[\citenum{Neto2021}];$^1S_0$;$71.643$;2021;R, CCSD(T)
12;Mg;[\citenum{Smialkowski2021}];$^1S_0$;$71.5$;2021;NR, CCSD(T)
12;Mg;[\citenum{Sarkisov2022}];$^1S_0$;$81 \pm 17$;2022;exp.
13;Al;[\citenum{Stwalley1971}];$^2P$;$62.0$;1971;NR, numerical MCSCF, $M_L$ res.
13;Al;[\citenum{Reinsch1976}];$^2P$;$56.27$;1976;NR, PNO-CEPA
13;Al;[\citenum{Hibbert1980}];$^2P$;$59.47$;1980;NR, MRCI
13;Al;[\citenum{Milani1990}][92];$^2P$;$46 \pm 2$;1990;exp. (see also ref [\citenum{{Ma2015}}])
13;Al;[\citenum{Chu2004}];$^2P$;$61.0$;2004;SIC-DFT
13;Al;[\citenum{Fuentealba2004}];$^2P$;$58.0 \pm 0.4$;2004;CCSD(T)
13;Al;[\citenum{Lupinetti2005}];$^2P$;$57.74$;2005;NR, CCSD(T), $M_L$ res.
13;Al;[\citenum{Fleig2005}];$^2P$;$55.5$;2005;R, SF, MRCI, $M_L$ res.
13;Al;[\citenum{Fleig2005}];$^2P_{1/2}/^2P_{3/2}$;$55.4 \pm 2.2/55.9 \pm 2.2$;2005;R, Dirac, MRCI, $M_J$ res.
13;Al;[\citenum{Maroulis2006}];$^2P$;$57.79 \pm 0.30$;2006;R, DK, CCSD(T)
13;Al;[\citenum{Buchachenko2010c}];$^2P_{1/2}/^2P_{3/2}$;$57.8 \pm 1.0/58.0 \pm 1.0$;2010;SI-SOCI, $M_L$ res.
13;Al;[\citenum{Hohm2012, Sarkisov2006}];$^2P$;$55.3 \pm 5.5$;2012;exp.
13;Al;[\citenum{Gould2016b}];$^2P$;$58.3$;2016;SIC-DFT (RXH)
13;Al;[\citenum{A.Manz2019}];$^2P$;$57.85$;2019;NR, CCSD
13;Al;[\citenum{Schwerdtfeger2019}];$--$;$57.8 \pm 1.0$;2019;recommended
13;Al;[\citenum{CanalNeto2021}];$^2P$;$58.089$;2021;R, CCSD(T)
13;Al;[\citenum{Neto2021}];$^2P$;$48.455$;2021;R, CCSD(T)
13;Al;[\citenum{Kumar2022}];$^2P_{1/2}/^2P_{3/2}$;$58.8 \pm 1.2/64.7 \pm 1.3$;2022;R, Breit+QED, CCSD
13;Al;[\citenum{Sarkisov2022}];$^2P$;$54 \pm 11$;2022;exp.
13;Al;[\citenum{Chen2022a}];$^2P$;$54.9 \pm 5.3$;2022;exp.
13;Al;[\citenum{Wang2021, Wang2023b}];$^2P$;$47.69 \pm 0.82$;2023;NR, CCSD(T)
14;Si;[\citenum{Reinsch1976}];$^3P$;$36.32$;1976;NR, PNO-CEPA, $M_L$ res.
14;Si;[\citenum{Hibbert1980}];$^3P$;$36.95$;1980;NR, MRCI
14;Si;[\citenum{Andersson1992}];$^3P$;$36.54$;1992;NR, CASPT2, $M_L$ res.
14;Si;[\citenum{Stiehler1995}];$^3P$;$38.8$;1995;NR, numerical MCSCF, $M_L$ res.
14;Si;[\citenum{Maroulis2003}];$^3P$;$37.4 \pm 0.1$;2003;NR, CCSD(T), $M_L$ res.
14;Si;[\citenum{Chu2004}];$^3P$;$38.9$;2004;SIC-DFT
14;Si;[\citenum{Lupinetti2005}];$^3P$;$37.17 \pm 0.21$;2005;NR, CCSD(T), $M_L$ res.
14;Si;[\citenum{Thierfelder2008}];$^3P_0$;$37.31 \pm 0.70$;2008;R, Dirac + Gaunt, CCSD(T)
14;Si;[\citenum{Gould2016b}];$^3P$;$37.8$;2016;SIC-DFT (RXH)
14;Si;[\citenum{A.Manz2019}];$^3P$;$37.16$;2019;NR, CCSD
14;Si;[\citenum{Schwerdtfeger2019}];$--$;$37.3 \pm 0.7$;2019;recommended
14;Si;[\citenum{Wang2021}];$^3P$;$36.90 \pm 0.63$;2021;NR, CCSD(T)
14;Si;[\citenum{CanalNeto2021}];$^3P$;$36.803$;2021;R, CCSD(T)
15;P;[\citenum{Reinsch1976}];$^4S$;$24.7 \pm 0.5$;1976;NR, PNO-CEPA
15;P;[\citenum{Andersson1992}];$^4S$;$24.6 \pm 0.2$;1992;NR, CASPT2
15;P;[\citenum{Stiehler1995}];$^4S$;$25.5$;1995;NR, numerical MCSCF, $M_L$ res.
15;P;[\citenum{Roos2004}];$^4S$;$24.9$;2004;R, DK, CASPT2
15;P;[\citenum{Chu2004}];$^4S$;$26.11$;2004;SIC-DFT
15;P;[\citenum{Lupinetti2005}];$^4S$;$24.93 \pm 0.15$;2005;NR, CCSD(T)
15;P;[\citenum{Buchachenko2010}];$^4S$;$25.06$;2010;R, DK, CASPT2
15;P;[\citenum{Gould2016b}];$^4S$;$25.3$;2016;SIC-DFT (RXH)
15;P;[\citenum{A.Manz2019}];$^4S$;$24.88$;2019;NR, CCSD
15;P;[\citenum{Schwerdtfeger2019}];$--$;$25 \pm 1$;2019;recommended
15;P;[\citenum{Visentin2020}];$^4S$;$25.0$;2020;AE, CCSD(T)
15;P;[\citenum{Wang2021}];$^4S$;$24.95 \pm 0.43$;2021;NR, CCSD(T)
15;P;[\citenum{CanalNeto2021}];$^4S$;$24.980$;2021;R, CCSD(T)
16;S;[\citenum{Reinsch1976}];$^3P$;$19.60$;1976;NR, PNO-CEPA, $M_L$ res.
16;S;[\citenum{Andersson1992}];$^3P$;$19.6$;1992;NR, CASPT2, $M_L$ res.
16;S;[\citenum{MEDVEĎ2000a}];$^3P$;$19.6$;2000;NR, CASPT2, $M_L$ res.
16;S;[\citenum{Chu2004}];$^3P$;$19.72$;2004;SIC-DFT
16;S;[\citenum{Lupinetti2005}];$^3P$;$19.37 \pm 0.12$;2005;NR, CCSD(T), $M_L$ res.
16;S;[\citenum{A.Manz2019}];$^3P$;$19.22$;2019;NR, CCSD(T)
16;S;[\citenum{Schwerdtfeger2019}];$--$;$19.4 \pm 0.1$;2019;recommended
16;S;[\citenum{Wang2021}];$^3P$;$19.38 \pm 0.33$;2021;NR, CCSD(T)
17;Cl;[\citenum{Reinsch1976}];$^2P$;$14.71$;1976;NR, PNO-CEPA, $M_L$ res.
17;Cl;[\citenum{Andersson1992}];$^2P$;$14.6$;1992;NR, CASPT2, $M_L$ res.
17;Cl;[\citenum{MEDVEĎ2000a}];$^2P$;$14.73$;2000;NR, CASPT2, $M_L$ res.
17;Cl;[\citenum{Chu2004}];$^2P$;$14.7$;2004;SIC-DFT
17;Cl;[\citenum{Lupinetti2005}];$^2P$;$14.57 \pm 0.10$;2005;NR, CCSD(T), $M_L$ res.
17;Cl;[\citenum{Schwerdtfeger2019}];$--$;$14.6 \pm 0.1$;2019;recommended
17;Cl;[\citenum{Wang2021}];$^2P$;$14.59 \pm 0.25$;2021;NR, CCSD(T)
17;Cl;[\citenum{CanalNeto2021}];$^2P$;$14.582$;2021;R, CCSD(T)
18;Ar;[\citenum{Newell1965}];$^1S_0$;$11.083 \pm 0.002$;1965;exp.
18;Ar;[\citenum{Orcutt1967}];$^1S_0$;$11.081 \pm 0.005$;1967;exp.
18;Ar;[\citenum{Langhoff1969}];$^1S_0$;$11.091$;1969;exp.
18;Ar;[\citenum{Reinsch1976}];$^1S$;$11.10$;1976;NR, PNO-CEPA
18;Ar;[\citenum{Hohm1990, Johnston1960}];$^1S_0$;$11.070 \pm 0.007$;1990;exp.
18;Ar;[\citenum{Dalgarno1997b}];$^1S_0$;$11.080$;1997;exp.
18;Ar;[\citenum{Soldán2001a}];$^1S$;$11.08401 \pm 0.00004$;2001;NR, CCSD(T)
18;Ar;[\citenum{Nakajima2001, Soldán2001a}];$^1S$;$11.10$;2001;R, CCSD(T) + DK3 correction
18;Ar;[\citenum{Roos2004}];$^1S$;$11.1$;2004;R, DK, CASPT2
18;Ar;[\citenum{Maroulis2006}];$^1S_0$;$11.078 \pm 0.010$;2006;exp.
18;Ar;[\citenum{Maroulis2006, Hohm2012, Lupinetti2005}];$^1S$;$11.085 \pm 0.060$;2012;R, CCSD(T)
18;Ar;[\citenum{Singh2013}];$^1S$;$11.089 \pm 0.004$;2013;R, CCSD(T)
18;Ar;[\citenum{Gaiser2018}];$^1S_0$;$11.07718 \pm 0.00064$;2018;exp.
18;Ar;[\citenum{Schwerdtfeger2019}];$--$;$11.083 \pm 0.007$;2019;recommended
18;Ar;[\citenum{Wang2021}];$^1S$;$11.08 \pm 0.19$;2021;NR, CCSD(T)
18;Ar;[\citenum{Lesiuk2023}];$^1S$;$11.0775 \pm 0.0019$;2023;\makecell{R, DKH2, CCSD(T) + Breit-Pauli \\+ QED + finite nuclear mass and size}
19;K;[\citenum{Molof1974}];$^2S_{1/2}$;$292.9 \pm 6.1$;1974;exp.
19;K;[\citenum{Derevianko1999}];$^2S_{1/2}$;$289.1$;1999;RLCCSD
19;K;[\citenum{Derevianko1999}];$^2S_{1/2}$;$290.2 \pm 0.8$;1999;R, SD all orders + exp. data for electronic transitions
19;K;[\citenum{Mitroy2003}];$^2S_{1/2}$;$290.0$;2003;Combination of ab initio and semi-empirical methods
19;K;[\citenum{Lim2005}];$^2S$;$291.1 \pm 1.5$;2005;R, DK, CCSD(T), AE
19;K;[\citenum{Derevianko2010}];$^2S_{1/2}$;$290.2$;2010;Combination of theoretical and experimental data
19;K;[\citenum{Holmgren2010}];$^2S_{1/2}$;$290.6 \pm 1.4$;2010;exp. (for hyperfine effects see ref [\citenum{{Jiang2013}}])
19;K;[\citenum{Jiang2013}];$^2S_{1/2}$;$290.05$;2013;Oscillator-strength sum rule
19;K;[\citenum{Gregoire2015, Gregoire2016}];$^2S_{1/2}$;$289.7 \pm 0.3$;2016;exp.
19;K;[\citenum{Schwerdtfeger2019}];$--$;$289.7 \pm 0.3$;2019;recommended
19;K;[\citenum{Smialkowski2021}];$^2S_{1/2}$;$289.6$;2021;SR, CCSD(T), ECP
19;K;[\citenum{Badhan2022}];$^2S_{1/2}$;$290.30 \pm 0.23$;2022;R, Dirac-HF, pertubative singles + doubles method, RPA
20;Ca;[\citenum{Maeder1979}];$^1S$;$153.7$;1979;NR, CI + pseudo-potential
20;Ca;[\citenum{Sadlej1991}];$^1S$;$152.0$;1991;R, MVD, CCSD + T
20;Ca;[\citenum{Archibong1991}];$^1S$;$157$;1991;NR, MBPT4
20;Ca;[\citenum{Porsev2002}];$^1S_0$;$160$;2002;R, CI+MBPT
20;Ca;[\citenum{Bromley2002}];$^1S$;$158.6$;2002;CI, oscillator strength correction
20;Ca;[\citenum{Mitroy2003}];$^1S$;$159.4$;2003;Combination of ab initio and semi-empirical methods
20;Ca;[\citenum{Moszynski2003}];$^1S_0$;$155.3/157.7$;2003;CCSD R/NR
20;Ca;[\citenum{Roos2004a}];$^1S$;$163$;2004;R, DK, CASPT2
20;Ca;[\citenum{Lim2004}];$^1S_0$;$158.0$;2004;R, DK + SO, CCSD(T)
20;Ca;[\citenum{Lide2004, Schwartz1974}];$^1S_0$;$169 \pm 17$;2004;exp.
20;Ca;[\citenum{Porsev2006, Porsev2006a}];$^1S_0$;$155.9$;2006;R, Dirac, CI + MBPT2 + experimental data
20;Ca;[\citenum{Porsev2006}];$^1S_0$;$157.1 \pm 1.3$;2006;Hybrid-RCI + MBPT sum rule + experimental data
20;Ca;[\citenum{Porsev2006}];$^1S_0$;$159.0$;2006;R, Dirac, CI + MBPT
20;Ca;[\citenum{Maroulis2006}];$^1S_0$;$157.9 \pm 0.8$;2006;R, DK, CCSD(T)
20;Ca;[\citenum{Sahoo2008}];$^1S_0$;$154.58$;2008;R, Dirac, coupled cluster
20;Ca;[\citenum{Sahoo2008}];$^1S_0$;$154.6 \pm 5.4$;2008;R, Dirac, CCSD
20;Ca;[\citenum{Mitroy2008}];$^1S_0$;$154.7$;2008;ab initio + experimental data
