Z;Atom;Refs.;State;Alpha;Year;Comments
1;H;[\citenum{Goldman1989}];$^2S$;$4.5$;1989;NR, exact
1;H;[\citenum{Goldman1989, Tang2012}];$^2S_{1/2}$;$4.49975145989$;2012;\makecell{R, Dirac, variational, Slater/B-splines \\(more digits are given in Ref.~\citenum{Tang2012})}
1;H;[\citenum{Tang2012}];$^2S_{1/2}$;$4.500170623$;2012;R, Dirac (as above), but with finite mass correction added for the $^1$H isotope
1;H;[\citenum{Filippin2014}];$^2S_{1/2}$;$4.4997519518$;2014;R, Dirac, Lagrange mesh method (more digits are given in this paper)
1;H;[\citenum{Schwerdtfeger2019}];$^2S_{1/2}$;$4.50711 \pm 0.00003$;2019;recommended
1;H;[\citenum{Li2024}];$^2S_{1/2}$;$4.511 \pm 0.004$;2024;NR, neural network QMC, DS (DeepSolid) method
2;He;[\citenum{Newell1965, Schooley1992}];$^1S_0$;$1.383746 \pm 0.000007$;1992;exp.
2;He;[\citenum{Pachucki2000}];$^1S_0$;$1.383191$;2000;R, Dirac, Breit-Pauli, QED, mass pol, correlated basis ($^4$He)
2;He;[\citenum{Lach2004b}];$^1S_0$;$1.38376079 \pm 0.00000023$;2004;\makecell{R, Dirac, Breit-Pauli, QED, mass pol, \\exponentially correlated Slater functions ($^4$He)}
2;He;[\citenum{Schmidt2007}];$^1S_0$;$1.383759 \pm 0.000013$;2007;exp.
2;He;[\citenum{Puchalski2016}];$^1S_0$;$1.3837295330 \pm 0.000000001$;2016;R, Dirac, Breit, QED, recoil, ... ($^4$He)
2;He;[\citenum{Gaiser2018}];$^1S_0$;$1.3837616 \pm 0.0000027$;2018;exp.
2;He;[\citenum{Schwerdtfeger2019}];$^1S_0$;$1.38375 \pm 0.00002$;2019;recommended
2;He;[\citenum{Puchalski2020}];$^1S_0$;$1.38376078 \pm 0.00000014$;2020;R, Dirac, Breit-Pauli, QED + finite nuclear size correction
3;Li;[\citenum{Molof1974}];$^2S_{1/2}$;$164.0 \pm 3.4$;1974;exp.
3;Li;[\citenum{Komasa2001, Lim1999}];$^2S$;$164.05$;2001;NR, exponentially correlated Gaussians [\citenum{{Singer1997}}] + R/DK
3;Li;[\citenum{Miffre2006a}];$^2S_{1/2}$;$164.2 \pm 1.1$;2006;exp.
