ISBN13,Title,Format,Status
978-0-9754479-0-1,Basic Documents about the Treatment of Detainees at Guantanamo and Abu Ghraib,Paperback,AC (USA)/AC (GBR)
978-0-9754479-1-8,News Feed Fun for Information Maniacs,Paperback,AC (USA)
978-0-9754479-2-5,Unauthorized a Feast for Crows Analysis,Paperback,AC (USA)
978-0-9754479-3-2,Unofficial Half-Blood Prince (tm) Update,Hardback,AC (USA)/OD (GBR)
978-0-9754479-4-9,Unofficial Half-Blood Prince (tm) Update,Ebook - Adobe PDF,AC (USA)
978-0-9754479-5-6,Detainees at Guantanamo and Abu Ghraib,Ebook - Adobe Ebook Reader,AC (USA)
978-0-9754479-6-3,Through Hell to Wisdom,Ebook - Adobe PDF,AC (USA)
978-0-9754479-7-0,Paris Hilton Is a Fool,Ebook - Adobe PDF,AC (USA)
978-0-9754479-8-7,Unauthorized Dan Brown Update,Ebook,AC (USA)
978-0-9754479-9-4,The Solomon Key and Beyond,Paperback,AC (USA)/AC (GBR)
