ISBN13,Title,Format,Status
978-0-9788138-0-2,Should Barack Obama Be President?,Paperback,AC (USA)/AC (GBR)
978-0-9788138-1-9,Is the World Flat?,Pamphlet,AC (USA)/AC (GBR)
978-0-9788138-2-6,Globalistan,Paperback,AC (USA)/AC (GBR)
978-0-9788138-3-3,Blogging the Wolverines,Paperback,AC (USA)
978-0-9788138-4-0,Daniel Defoe's Robinson Crusoe and Alexander Selkirk,Paperback,AC (USA)/IO (GBR)
978-0-9788138-5-7,Sandy Berger should be in Jail,Paperback,AC (USA)/AC (GBR)
978-0-9788138-6-4,Bearing the Unbearable,Paperback,AC (USA)/AC (GBR)
978-0-9788138-7-1,The Jesus Family Tomb Controversy,Paperback,AC (USA)/IO (GBR)
978-0-9788138-8-8,A Fandom of Magical Proportions,Paperback,AC (USA)/AC (GBR)
978-0-9788138-9-5,Red Zone Blues,Paperback,AC (USA)/IO (GBR)
