"ISBN13","Title","Format","Status"
"978-0-9777424-0-0","After the Da Vinci Code Movie and DVD","Ebook - GlassBook","AC (USA)"
"978-0-9777424-1-7","Hypochondriac's Guide to Tamiflu - Oseltamivir for Bird Flu","Ebook - GlassBook","AC (USA)"
"978-0-9777424-2-4","Hypochondriac's Guide to Bontril - Phendimetrazine)","Ebook","AC (USA)"
"978-0-9777424-3-1","Hypochondriac's Guide to Wellbutrin - Bupropion Hydrochloride","Ebook - GlassBook","AC (USA)"
"978-0-9777424-4-8","Top-Paying Google Adsense and Adwords Keywords for Pharmaceuticals - In Digital Format!","Ebook - GlassBook","AC (USA)"
"978-0-9777424-5-5","1654 Pages of High-CPM Content for Google Adsense Marketers","Ebook - GlassBook","AC (USA)/AC (GBR)"
"978-0-9777424-6-2","Misquotes in Misquoting Jesus","Paperback","AC (USA)/IO (GBR)"
"978-0-9777424-7-9","Unauthorized Harry Potter and the Alchemist's Cell News","Paperback","AC (USA)/OD (GBR)"
"978-0-9777424-8-6","Unauthorized Harry Potter and the Chariots of Light News","Paperback","AC (USA)/OD (GBR)"
"978-0-9777424-9-3","AMERICAN THEOCRACY Unpacked","Paperback","AC (USA)/AC (GBR)"
