ISBN13,Title,Format,Status
978-0-9765406-0-1,Unauthorized Harry Potter and the Deathly Hallows News,Paperback,AC (GBR)/AC (USA)
978-0-9765406-1-8,Unauthorized A Feast for Crows Analysis,Paperback,OS (USA)/OS (GBR)
978-0-9765406-2-5,Tech Fun with Google Reader,Ebook,AC (USA)
978-0-9765406-3-2,Mesothelioma Pointers,Ebook - GlassBook,AC (USA)
978-0-9765406-4-9,Hypochondriac's Guide to Phentermine,Ebook - GlassBook,AC (USA)
978-0-9765406-5-6,"Debt Consolidation 1, Bad Credit Card Debt 0",Ebook - GlassBook,AC (USA)
978-0-9765406-6-3,Hypochondriac's Guide to Hoodia Gordonii (H 57),Ebook - Adobe Ebook Reader,AC (USA)
978-0-9765406-7-0,Unauthorized Harry Potter and the Alchemist's Cell News,Ebook - GlassBook,AC (USA)
978-0-9765406-8-7,Unauthorized Harry Potter and the Pyramids of Furmat News,Ebook - GlassBook,AC (USA)
978-0-9765406-9-4,Unauthorized Harry Potter and the Chariots of Light News,Ebook - GlassBook,AC (USA)
